PLC ,B1   ,201809160334,117,1001001009
PLC ,B1   ,201809160335,76,1001001009
PLC ,B1   ,201809160336,138,1001001009
PLC ,B1   ,201809160337,120,1001001009
PLC ,B1   ,201809160338,118,1001001009
PLC ,B1   ,201809160339,114,1001001009
PLC ,B1   ,201809160340,131,1001001009
PLC ,B1   ,201809160341,115,1001001009
PLC ,B1   ,201809160342,108,1001001009
PLC ,B1   ,201809160343,138,1001001009
PLC ,B1   ,201809160344,113,1001001009
PLC ,B1   ,201809160345,116,1001001009
PLC ,B1   ,201809160346,137,1001001009
PLC ,B1   ,201809160347,105,1001001009
PLC ,B1   ,201809160348,110,1001001009
PLC ,B1   ,201809160349,113,1001001009
PLC ,B1   ,201809160350,122,1001001009
PLC ,B1   ,201809160351,105,1001001009
PLC ,B1   ,201809160352,154,1001001009
PLC ,B1   ,201809160353,155,1001001009
PLC ,B1   ,201809160354,139,1001001009
PLC ,B1   ,201809160355,128,1001001009
PLC ,B1   ,201809160356,119,1001001009
PLC ,B1   ,201809160357,129,1001001009
PLC ,B1   ,201809160358,124,1001001009
PLC ,B1   ,201809160359,113,1001001009
PLC ,B1   ,201809160400,121,1001001009
PLC ,B1   ,201809160401,132,1001001009
PLC ,B1   ,201809160402,134,1001001009
PLC ,B1   ,201809160403,126,1001001009
PLC ,B1   ,201809160404,115,1001001009
PLC ,B1   ,201809160405,98,1001001009
PLC ,B1   ,201809160406,138,1001001009
PLC ,B1   ,201809160407,120,1001001009
PLC ,B1   ,201809160408,117,1001001009
PLC ,B1   ,201809160409,166,1001001009
PLC ,B1   ,201809160410,137,1001001009
PLC ,B1   ,201809160411,147,1001001009
PLC ,B1   ,201809160412,141,1001001009
PLC ,B1   ,201809160413,113,1001001009
PLC ,B1   ,201809160414,111,1001001009
PLC ,B1   ,201809160415,107,1001001009
PLC ,B1   ,201809160416,118,1001001009
PLC ,B1   ,201809160417,120,1001001009
PLC ,B1   ,201809160418,114,1001001009
PLC ,B1   ,201809160419,91,1001001009
PLC ,B1   ,201809160420,84,1001001009
PLC ,B1   ,201809160421,94,1001001009
PLC ,B1   ,201809160422,98,1001001009
PLC ,B1   ,201809160423,145,1001001009
PLC ,B1   ,201809160424,107,1001001009
PLC ,B1   ,201809160425,119,1001001009
PLC ,B1   ,201809160426,128,1001001009
PLC ,B1   ,201809160427,92,1001001009
