TME ,B1   ,201809160441,95,1001001009
TME ,B1   ,201809160442,57,1001001009
TME ,B1   ,201809160443,64,1001001009
TME ,B1   ,201809160444,66,1001001009
TME ,B1   ,201809160445,59,1001001009
TME ,B1   ,201809160446,67,1001001009
TME ,B1   ,201809160447,71,1001001009
TME ,B1   ,201809160448,67,1001001009
TME ,B1   ,201809160449,85,1001001009
TME ,B1   ,201809160450,77,1001001009
TME ,B1   ,201809160451,63,1001001009
TME ,B1   ,201809160452,67,1001001009
TME ,B1   ,201809160453,91,1001001009
TME ,B1   ,201809160454,66,1001001009
TME ,B1   ,201809160455,72,1001001009
TME ,B1   ,201809160456,91,1001001009
TME ,B1   ,201809160457,94,1001001009
TME ,B1   ,201809160458,108,1001001009
TME ,B1   ,201809160459,94,1001001009
TME ,B1   ,201809160500,93,1001001009
TME ,B1   ,201809160501,97,1001001009
TME ,B1   ,201809160502,108,1001001009
TME ,B1   ,201809160503,118,1001001009
TME ,B1   ,201809160504,118,1001001009
TME ,B1   ,201809160505,99,1001001009
TME ,B1   ,201809160506,92,1001001009
TME ,B1   ,201809160507,87,1001001009
TME ,B1   ,201809160508,83,1001001009
TME ,B1   ,201809160509,72,1001001009
TME ,B1   ,201809160510,89,1001001009
TME ,B1   ,201809160511,83,1001001009
TME ,B1   ,201809160512,100,1001001009
TME ,B1   ,201809160513,100,1001001009
TME ,B1   ,201809160514,89,1001001009
TME ,B1   ,201809160515,70,1001001009
TME ,B1   ,201809160516,53,1001001009
TME ,B1   ,201809160517,77,1001001009
TME ,B1   ,201809160518,78,1001001009
TME ,B1   ,201809160519,55,1001001009
TME ,B1   ,201809160520,69,1001001009
TME ,B1   ,201809160521,78,1001001009
TME ,B1   ,201809160522,86,1001001009
TME ,B1   ,201809160523,56,1001001009
TME ,B1   ,201809160524,80,1001001009
TME ,B1   ,201809160525,62,1001001009
TME ,B1   ,201809160526,57,1001001009
TME ,B1   ,201809160527,69,1001001009
TME ,B1   ,201809160528,62,1001001009
TME ,B1   ,201809160529,73,1001001009
TME ,B1   ,201809160530,58,1001001009
TME ,B1   ,201809160531,59,1001001009
TME ,B1   ,201809160532,65,1001001009
TME ,B1   ,201809160533,73,1001001009
TME ,B1   ,201809160534,78,1001001009
TME ,B1   ,201809160535,77,1001001009
TME ,B1   ,201809160536,70,1001001009
TME ,B1   ,201809160537,67,1001001009
TME ,B1   ,201809160538,66,1001001009
TME ,B1   ,201809160539,75,1001001009
TME ,B1   ,201809160540,67,1001001009
TME ,B1   ,201809160541,58,1001001009
TME ,B1   ,201809160542,65,1001001009
TME ,B1   ,201809160543,58,1001001009
TME ,B1   ,201809160544,58,1001001009
TME ,B1   ,201809160545,73,1001001009
TME ,B1   ,201809160546,56,1001001009
TME ,B1   ,201809160547,72,1001001009
TME ,B1   ,201809160548,65,1001001009
TME ,B1   ,201809160549,64,1001001009
TME ,B1   ,201809160550,51,1001001009
TME ,B1   ,201809160551,73,1001001009
TME ,B1   ,201809160552,68,1001001009
TME ,B1   ,201809160553,68,1001001009
TME ,B1   ,201809160554,63,1001001009
TME ,B1   ,201809160555,59,1001001009
TME ,B1   ,201809160556,68,1001001009
TME ,B1   ,201809160557,66,1001001009
TME ,B1   ,201809160558,66,1001001009
TME ,B1   ,201809160559,66,1001001009
TME ,B1   ,201809160600,68,1001001009
TME ,B1   ,201809160601,96,1001001009
TME ,B1   ,201809160602,93,1001001009
TME ,B1   ,201809160603,105,1001001009
TME ,B1   ,201809160604,66,1001001009
TME ,B1   ,201809160605,87,1001001009
TME ,B1   ,201809160606,99,1001001009
TME ,B1   ,201809160607,110,1001001009
TME ,B1   ,201809160608,110,1001001009
TME ,B1   ,201809160609,82,1001001009
TME ,B1   ,201809160610,84,1001001009
TME ,B1   ,201809160611,85,1001001009
TME ,B1   ,201809160612,98,1001001009
TME ,B1   ,201809160613,109,1001001009
TME ,B1   ,201809160614,102,1001001009
TME ,B1   ,201809160615,92,1001001009
TME ,B1   ,201809160616,93,1001001009
TME ,B1   ,201809160617,86,1001001009
TME ,B1   ,201809160618,83,1001001009
TME ,B1   ,201809160619,78,1001001009
TME ,B1   ,201809160620,79,1001001009
TME ,B1   ,201809160621,85,1001001009
TME ,B1   ,201809160622,72,1001001009
TME ,B1   ,201809160623,92,1001001009
TME ,B1   ,201809160624,55,1001001009
TME ,B1   ,201809160625,68,1001001009
TME ,B1   ,201809160626,103,1001001009
TME ,B1   ,201809160627,90,1001001009
TME ,B1   ,201809160628,67,1001001009
TME ,B1   ,201809160629,70,1001001009
TME ,B1   ,201809160630,87,1001001009
TME ,B1   ,201809160631,83,1001001009
TME ,B1   ,201809160632,94,1001001009
TME ,B1   ,201809160633,82,1001001009
TME ,B1   ,201809160634,85,1001001009
TME ,B1   ,201809160635,80,1001001009
TME ,B1   ,201809160636,92,1001001009
TME ,B1   ,201809160637,96,1001001009
TME ,B1   ,201809160638,84,1001001009
TME ,B1   ,201809160639,114,1001001009
TME ,B1   ,201809160640,82,1001001009
TME ,B1   ,201809160641,71,1001001009
TME ,B1   ,201809160642,81,1001001009
TME ,B1   ,201809160643,73,1001001009
TME ,B1   ,201809160644,86,1001001009
TME ,B1   ,201809160645,100,1001001009
TME ,B1   ,201809160646,95,1001001009
TME ,B1   ,201809160647,101,1001001009
TME ,B1   ,201809160648,91,1001001009
TME ,B1   ,201809160649,83,1001001009
TME ,B1   ,201809160650,74,1001001009
TME ,B1   ,201809160651,101,1001001009
TME ,B1   ,201809160652,78,1001001009
TME ,B1   ,201809160653,90,1001001009
TME ,B1   ,201809160654,89,1001001009
TME ,B1   ,201809160655,75,1001001009
TME ,B1   ,201809160656,94,1001001009
TME ,B1   ,201809160657,86,1001001009
TME ,B1   ,201809160658,93,1001001009
TME ,B1   ,201809160659,94,1001001009
TME ,B1   ,201809160700,117,1001001009
TME ,B1   ,201809160701,93,1001001009
TME ,B1   ,201809160702,92,1001001009
TME ,B1   ,201809160703,76,1001001009
TME ,B1   ,201809160704,107,1001001009
TME ,B1   ,201809160705,108,1001001009
TME ,B1   ,201809160706,87,1001001009
TME ,B1   ,201809160707,75,1001001009
TME ,B1   ,201809160708,101,1001001009
TME ,B1   ,201809160709,98,1001001009
TME ,B1   ,201809160710,105,1001001009
TME ,B1   ,201809160711,75,1001001009
TME ,B1   ,201809160712,124,1001001009
TME ,B1   ,201809160713,107,1001001009
TME ,B1   ,201809160714,94,1001001009
TME ,B1   ,201809160715,90,1001001009
TME ,B1   ,201809160716,81,1001001009
TME ,B1   ,201809160717,92,1001001009
TME ,B1   ,201809160718,83,1001001009
TME ,B1   ,201809160719,87,1001001009
TME ,B1   ,201809160720,94,1001001009
TME ,B1   ,201809160721,91,1001001009
TME ,B1   ,201809160722,88,1001001009
TME ,B1   ,201809160723,76,1001001009
TME ,B1   ,201809160724,94,1001001009
TME ,B1   ,201809160725,80,1001001009
TME ,B1   ,201809160726,68,1001001009
TME ,B1   ,201809160727,105,1001001009
TME ,B1   ,201809160728,99,1001001009
TME ,B1   ,201809160729,102,1001001009
TME ,B1   ,201809160730,86,1001001009
TME ,B1   ,201809160731,79,1001001009
TME ,B1   ,201809160732,117,1001001009
TME ,B1   ,201809160733,86,1001001009
TME ,B1   ,201809160734,112,1001001009
TME ,B1   ,201809160735,105,1001001009
TME ,B1   ,201809160736,95,1001001009
TME ,B1   ,201809160737,68,1001001009
TME ,B1   ,201809160738,101,1001001009
TME ,B1   ,201809160739,79,1001001009
TME ,B1   ,201809160740,84,1001001009
TME ,B1   ,201809160741,102,1001001009
TME ,B1   ,201809160742,93,1001001009
TME ,B1   ,201809160743,103,1001001009
TME ,B1   ,201809160744,117,1001001009
TME ,B1   ,201809160745,126,1001001009
TME ,B1   ,201809160746,89,1001001009
TME ,B1   ,201809160747,89,1001001009
TME ,B1   ,201809160748,141,1001001009
TME ,B1   ,201809160749,141,1001001009
TME ,B1   ,201809160750,150,1001001009
TME ,B1   ,201809160751,162,1001001009
TME ,B1   ,201809160752,138,1001001009
TME ,B1   ,201809160753,128,1001001009
TME ,B1   ,201809160754,116,1001001009
TME ,B1   ,201809160755,119,1001001009
TME ,B1   ,201809160756,143,1001001009
TME ,B1   ,201809160757,139,1001001009
TME ,B1   ,201809160758,148,1001001009
TME ,B1   ,201809160759,191,1001001009
TME ,B1   ,201809160800,158,1001001009
TME ,B1   ,201809160801,123,1001001009
TME ,B1   ,201809160802,135,1001001009
TME ,B1   ,201809160803,139,1001001009
TME ,B1   ,201809160804,159,1001001009
TME ,B1   ,201809160805,143,1001001009
TME ,B1   ,201809160806,153,1001001009
TME ,B1   ,201809160807,144,1001001009
TME ,B1   ,201809160808,118,1001001009
TME ,B1   ,201809160809,144,1001001009
TME ,B1   ,201809160810,151,1001001009
TME ,B1   ,201809160811,143,1001001009
TME ,B1   ,201809160812,126,1001001009
TME ,B1   ,201809160813,129,1001001009
TME ,B1   ,201809160814,96,1001001009
TME ,B1   ,201809160815,110,1001001009
TME ,B1   ,201809160816,112,1001001009
TME ,B1   ,201809160817,110,1001001009
TME ,B1   ,201809160818,101,1001001009
TME ,B1   ,201809160819,103,1001001009
TME ,B1   ,201809160820,118,1001001009
TME ,B1   ,201809160821,125,1001001009
TME ,B1   ,201809160822,118,1001001009
TME ,B1   ,201809160823,122,1001001009
TME ,B1   ,201809160824,145,1001001009
TME ,B1   ,201809160825,154,1001001009
TME ,B1   ,201809160826,149,1001001009
TME ,B1   ,201809160827,134,1001001009
TME ,B1   ,201809160828,155,1001001009
TME ,B1   ,201809160829,171,1001001009
TME ,B1   ,201809160830,142,1001001009
TME ,B1   ,201809160831,154,1001001009
TME ,B1   ,201809160832,159,1001001009
TME ,B1   ,201809160833,174,1001001009
TME ,B1   ,201809160834,138,1001001009
TME ,B1   ,201809160835,163,1001001009
TME ,B1   ,201809160836,176,1001001009
TME ,B1   ,201809160837,158,1001001009
TME ,B1   ,201809160838,179,1001001009
TME ,B1   ,201809160839,146,1001001009
TME ,B1   ,201809160840,122,1001001009
TME ,B1   ,201809160841,124,1001001009
TME ,B1   ,201809160842,146,1001001009
TME ,B1   ,201809160843,146,1001001009
TME ,B1   ,201809160844,148,1001001009
TME ,B1   ,201809160845,171,1001001009
TME ,B1   ,201809160846,153,1001001009
TME ,B1   ,201809160847,169,1001001009
TME ,B1   ,201809160848,134,1001001009
TME ,B1   ,201809160849,180,1001001009
TME ,B1   ,201809160850,140,1001001009
TME ,B1   ,201809160851,176,1001001009
TME ,B1   ,201809160852,160,1001001009
TME ,B1   ,201809160853,197,1001001009
TME ,B1   ,201809160854,153,1001001009
TME ,B1   ,201809160855,133,1001001009
TME ,B1   ,201809160856,136,1001001009
TME ,B1   ,201809160857,164,1001001009
TME ,B1   ,201809160858,162,1001001009
TME ,B1   ,201809160859,193,1001001009
TME ,B1   ,201809160900,171,1001001009
TME ,B1   ,201809160901,156,1001001009
TME ,B1   ,201809160902,141,1001001009
TME ,B1   ,201809160903,158,1001001009
TME ,B1   ,201809160904,164,1001001009
TME ,B1   ,201809160905,172,1001001009
