JKB ,B1   ,201809160318,32,1001001009
JKB ,B1   ,201809160319,26,1001001009
JKB ,B1   ,201809160320,41,1001001009
JKB ,B1   ,201809160321,42,1001001009
JKB ,B1   ,201809160322,58,1001001009
JKB ,B1   ,201809160323,43,1001001009
JKB ,B1   ,201809160324,29,1001001009
JKB ,B1   ,201809160325,28,1001001009
JKB ,B1   ,201809160326,51,1001001009
JKB ,B1   ,201809160327,50,1001001009
JKB ,B1   ,201809160328,33,1001001009
JKB ,B1   ,201809160329,27,1001001009
JKB ,B1   ,201809160330,61,1001001009
JKB ,B1   ,201809160331,62,1001001009
JKB ,B1   ,201809160332,64,1001001009
JKB ,B1   ,201809160333,65,1001001009
JKB ,B1   ,201809160334,56,1001001009
JKB ,B1   ,201809160335,29,1001001009
JKB ,B1   ,201809160336,58,1001001009
JKB ,B1   ,201809160337,50,1001001009
JKB ,B1   ,201809160338,41,1001001009
JKB ,B1   ,201809160339,47,1001001009
JKB ,B1   ,201809160340,38,1001001009
JKB ,B1   ,201809160341,46,1001001009
JKB ,B1   ,201809160342,62,1001001009
JKB ,B1   ,201809160343,48,1001001009
JKB ,B1   ,201809160344,54,1001001009
JKB ,B1   ,201809160345,66,1001001009
JKB ,B1   ,201809160346,88,1001001009
JKB ,B1   ,201809160347,68,1001001009
JKB ,B1   ,201809160348,80,1001001009
JKB ,B1   ,201809160349,39,1001001009
JKB ,B1   ,201809160350,37,1001001009
JKB ,B1   ,201809160351,56,1001001009
JKB ,B1   ,201809160352,52,1001001009
JKB ,B1   ,201809160353,47,1001001009
JKB ,B1   ,201809160354,58,1001001009
JKB ,B1   ,201809160355,41,1001001009
JKB ,B1   ,201809160356,67,1001001009
JKB ,B1   ,201809160357,42,1001001009
JKB ,B1   ,201809160358,35,1001001009
JKB ,B1   ,201809160359,82,1001001009
JKB ,B1   ,201809160400,69,1001001009
JKB ,B1   ,201809160401,78,1001001009
JKB ,B1   ,201809160402,54,1001001009
JKB ,B1   ,201809160403,80,1001001009
JKB ,B1   ,201809160404,36,1001001009
JKB ,B1   ,201809160405,34,1001001009
JKB ,B1   ,201809160406,53,1001001009
JKB ,B1   ,201809160407,66,1001001009
JKB ,B1   ,201809160408,72,1001001009
JKB ,B1   ,201809160409,57,1001001009
JKB ,B1   ,201809160410,37,1001001009
JKB ,B1   ,201809160411,50,1001001009
JKB ,B1   ,201809160412,40,1001001009
JKB ,B1   ,201809160413,42,1001001009
JKB ,B1   ,201809160414,50,1001001009
JKB ,B1   ,201809160415,73,1001001009
JKB ,B1   ,201809160416,50,1001001009
JKB ,B1   ,201809160417,33,1001001009
JKB ,B1   ,201809160418,38,1001001009
JKB ,B1   ,201809160419,46,1001001009
JKB ,B1   ,201809160420,35,1001001009
JKB ,B1   ,201809160421,58,1001001009
JKB ,B1   ,201809160422,55,1001001009
JKB ,B1   ,201809160423,89,1001001009
JKB ,B1   ,201809160424,64,1001001009
JKB ,B1   ,201809160425,84,1001001009
JKB ,B1   ,201809160426,76,1001001009
JKB ,B1   ,201809160427,65,1001001009
JKB ,B1   ,201809160428,65,1001001009
JKB ,B1   ,201809160429,45,1001001009
JKB ,B1   ,201809160430,44,1001001009
JKB ,B1   ,201809160431,52,1001001009
JKB ,B1   ,201809160432,26,1001001009
JKB ,B1   ,201809160433,37,1001001009
JKB ,B1   ,201809160434,26,1001001009
JKB ,B1   ,201809160435,41,1001001009
JKB ,B1   ,201809160436,16,1001001009
JKB ,B1   ,201809160437,13,1001001009
JKB ,B1   ,201809160438,34,1001001009
JKB ,B1   ,201809160439,46,1001001009
JKB ,B1   ,201809160440,37,1001001009
JKB ,B1   ,201809160441,46,1001001009
JKB ,B1   ,201809160442,48,1001001009
JKB ,B1   ,201809160443,69,1001001009
JKB ,B1   ,201809160444,32,1001001009
JKB ,B1   ,201809160445,30,1001001009
JKB ,B1   ,201809160446,28,1001001009
JKB ,B1   ,201809160447,40,1001001009
JKB ,B1   ,201809160448,66,1001001009
JKB ,B1   ,201809160449,72,1001001009
JKB ,B1   ,201809160450,43,1001001009
