CP1 ,B1   ,201809160324,48,1001001009
CP1 ,B1   ,201809160325,32,1001001009
CP1 ,B1   ,201809160326,40,1001001009
CP1 ,B1   ,201809160327,36,1001001009
CP1 ,B1   ,201809160328,65,1001001009
CP1 ,B1   ,201809160329,20,1001001009
CP1 ,B1   ,201809160330,34,1001001009
CP1 ,B1   ,201809160331,37,1001001009
CP1 ,B1   ,201809160332,30,1001001009
CP1 ,B1   ,201809160333,56,1001001009
CP1 ,B1   ,201809160334,42,1001001009
CP1 ,B1   ,201809160335,32,1001001009
CP1 ,B1   ,201809160336,56,1001001009
CP1 ,B1   ,201809160337,42,1001001009
CP1 ,B1   ,201809160338,46,1001001009
CP1 ,B1   ,201809160339,31,1001001009
CP1 ,B1   ,201809160340,43,1001001009
CP1 ,B1   ,201809160341,82,1001001009
CP1 ,B1   ,201809160342,75,1001001009
CP1 ,B1   ,201809160343,90,1001001009
CP1 ,B1   ,201809160344,62,1001001009
CP1 ,B1   ,201809160345,63,1001001009
CP1 ,B1   ,201809160346,45,1001001009
CP1 ,B1   ,201809160347,55,1001001009
CP1 ,B1   ,201809160348,66,1001001009
CP1 ,B1   ,201809160349,54,1001001009
CP1 ,B1   ,201809160350,72,1001001009
CP1 ,B1   ,201809160351,105,1001001009
CP1 ,B1   ,201809160352,47,1001001009
CP1 ,B1   ,201809160353,31,1001001009
CP1 ,B1   ,201809160354,26,1001001009
CP1 ,B1   ,201809160355,39,1001001009
CP1 ,B1   ,201809160356,42,1001001009
CP1 ,B1   ,201809160357,60,1001001009
CP1 ,B1   ,201809160358,88,1001001009
CP1 ,B1   ,201809160359,52,1001001009
CP1 ,B1   ,201809160400,24,1001001009
CP1 ,B1   ,201809160401,24,1001001009
CP1 ,B1   ,201809160402,25,1001001009
CP1 ,B1   ,201809160403,69,1001001009
CP1 ,B1   ,201809160404,58,1001001009
CP1 ,B1   ,201809160405,35,1001001009
CP1 ,B1   ,201809160406,62,1001001009
CP1 ,B1   ,201809160407,101,1001001009
CP1 ,B1   ,201809160408,42,1001001009
CP1 ,B1   ,201809160409,56,1001001009
CP1 ,B1   ,201809160410,65,1001001009
CP1 ,B1   ,201809160411,49,1001001009
CP1 ,B1   ,201809160412,51,1001001009
CP1 ,B1   ,201809160413,84,1001001009
CP1 ,B1   ,201809160414,105,1001001009
CP1 ,B1   ,201809160415,107,1001001009
CP1 ,B1   ,201809160416,85,1001001009
CP1 ,B1   ,201809160417,48,1001001009
CP1 ,B1   ,201809160418,65,1001001009
CP1 ,B1   ,201809160419,128,1001001009
CP1 ,B1   ,201809160420,74,1001001009
CP1 ,B1   ,201809160421,91,1001001009
CP1 ,B1   ,201809160422,88,1001001009
CP1 ,B1   ,201809160423,81,1001001009
CP1 ,B1   ,201809160424,99,1001001009
CP1 ,B1   ,201809160425,71,1001001009
CP1 ,B1   ,201809160426,58,1001001009
CP1 ,B1   ,201809160427,56,1001001009
CP1 ,B1   ,201809160428,59,1001001009
CP1 ,B1   ,201809160429,48,1001001009
CP1 ,B1   ,201809160430,54,1001001009
CP1 ,B1   ,201809160431,79,1001001009
CP1 ,B1   ,201809160432,70,1001001009
CP1 ,B1   ,201809160433,108,1001001009
CP1 ,B1   ,201809160434,44,1001001009
CP1 ,B1   ,201809160435,41,1001001009
CP1 ,B1   ,201809160436,25,1001001009
CP1 ,B1   ,201809160437,23,1001001009
CP1 ,B1   ,201809160438,37,1001001009
CP1 ,B1   ,201809160439,10,1001001009
CP1 ,B1   ,201809160440,23,1001001009
CP1 ,B1   ,201809160441,31,1001001009
CP1 ,B1   ,201809160442,30,1001001009
CP1 ,B1   ,201809160443,51,1001001009
CP1 ,B1   ,201809160444,32,1001001009
CP1 ,B1   ,201809160445,46,1001001009
CP1 ,B1   ,201809160446,55,1001001009
CP1 ,B1   ,201809160447,80,1001001009
CP1 ,B1   ,201809160448,69,1001001009
CP1 ,B1   ,201809160449,67,1001001009
CP1 ,B1   ,201809160450,49,1001001009
CP1 ,B1   ,201809160451,57,1001001009
CP1 ,B1   ,201809160452,47,1001001009
CP1 ,B1   ,201809160453,68,1001001009
CP1 ,B1   ,201809160454,58,1001001009
CP1 ,B1   ,201809160455,51,1001001009
CP1 ,B1   ,201809160456,56,1001001009
CP1 ,B1   ,201809160457,59,1001001009
CP1 ,B1   ,201809160458,50,1001001009
CP1 ,B1   ,201809160459,19,1001001009
CP1 ,B1   ,201809160500,40,1001001009
CP1 ,B1   ,201809160501,52,1001001009
CP1 ,B1   ,201809160502,63,1001001009
CP1 ,B1   ,201809160503,58,1001001009
CP1 ,B1   ,201809160504,69,1001001009
CP1 ,B1   ,201809160505,76,1001001009
CP1 ,B1   ,201809160506,70,1001001009
CP1 ,B1   ,201809160507,74,1001001009
CP1 ,B1   ,201809160508,55,1001001009
CP1 ,B1   ,201809160509,15,1001001009
CP1 ,B1   ,201809160510,59,1001001009
CP1 ,B1   ,201809160511,89,1001001009
CP1 ,B1   ,201809160512,83,1001001009
CP1 ,B1   ,201809160513,70,1001001009
CP1 ,B1   ,201809160514,79,1001001009
CP1 ,B1   ,201809160515,77,1001001009
CP1 ,B1   ,201809160516,53,1001001009
CP1 ,B1   ,201809160517,80,1001001009
CP1 ,B1   ,201809160518,94,1001001009
CP1 ,B1   ,201809160519,88,1001001009
CP1 ,B1   ,201809160520,107,1001001009
CP1 ,B1   ,201809160521,99,1001001009
CP1 ,B1   ,201809160522,106,1001001009
CP1 ,B1   ,201809160523,90,1001001009
CP1 ,B1   ,201809160524,65,1001001009
CP1 ,B1   ,201809160525,68,1001001009
CP1 ,B1   ,201809160526,70,1001001009
CP1 ,B1   ,201809160527,50,1001001009
CP1 ,B1   ,201809160528,43,1001001009
CP1 ,B1   ,201809160529,59,1001001009
CP1 ,B1   ,201809160530,69,1001001009
CP1 ,B1   ,201809160531,78,1001001009
CP1 ,B1   ,201809160532,102,1001001009
CP1 ,B1   ,201809160533,93,1001001009
CP1 ,B1   ,201809160534,93,1001001009
CP1 ,B1   ,201809160535,66,1001001009
CP1 ,B1   ,201809160536,63,1001001009
CP1 ,B1   ,201809160537,61,1001001009
CP1 ,B1   ,201809160538,19,1001001009
CP1 ,B1   ,201809160539,19,1001001009
CP1 ,B1   ,201809160540,19,1001001009
CP1 ,B1   ,201809160541,15,1001001009
CP1 ,B1   ,201809160542,18,1001001009
CP1 ,B1   ,201809160543,33,1001001009
CP1 ,B1   ,201809160544,43,1001001009
CP1 ,B1   ,201809160545,18,1001001009
CP1 ,B1   ,201809160546,30,1001001009
