CCH ,J1   ,201809160352,288,1101001009
CCH ,J1   ,201809160353,287,1101001009
CCH ,J1   ,201809160354,287,1101001009
CCH ,J1   ,201809160355,286,1101001009
CCH ,J1   ,201809160356,286,1101001009
CCH ,J1   ,201809160357,286,1101001009
CCH ,J1   ,201809160358,285,1101001009
CCH ,J1   ,201809160359,285,1101001009
CCH ,J1   ,201809160400,285,1101001009
CCH ,J1   ,201809160401,286,1101001009
CCH ,J1   ,201809160402,287,1101001009
CCH ,J1   ,201809160403,287,1101001009
CCH ,J1   ,201809160404,288,1101001009
CCH ,J1   ,201809160405,288,1101001009
CCH ,J1   ,201809160406,289,1101001009
CCH ,J1   ,201809160407,289,1101001009
CCH ,J1   ,201809160408,289,1101001009
CCH ,J1   ,201809160409,289,1101001009
CCH ,J1   ,201809160410,289,1101001009
CCH ,J1   ,201809160411,290,1101001009
CCH ,J1   ,201809160412,290,1101001009
CCH ,J1   ,201809160413,290,1101001009
CCH ,J1   ,201809160414,290,1101001009
CCH ,J1   ,201809160415,291,1101001009
CCH ,J1   ,201809160416,291,1101001009
CCH ,J1   ,201809160417,291,1101001009
CCH ,J1   ,201809160418,291,1101001009
CCH ,J1   ,201809160419,291,1101001009
CCH ,J1   ,201809160420,292,1101001009
CCH ,J1   ,201809160421,293,1101001009
CCH ,J1   ,201809160422,293,1101001009
CCH ,J1   ,201809160423,293,1101001009
CCH ,J1   ,201809160424,292,1101001009
CCH ,J1   ,201809160425,292,1101001009
CCH ,J1   ,201809160426,293,1101001009
CCH ,J1   ,201809160427,293,1101001009
CCH ,J1   ,201809160428,292,1101001009
CCH ,J1   ,201809160429,292,1101001009
CCH ,J1   ,201809160430,292,1101001009
CCH ,J1   ,201809160431,291,1101001009
CCH ,J1   ,201809160432,291,1101001009
CCH ,J1   ,201809160433,290,1101001009
CCH ,J1   ,201809160434,290,1101001009
CCH ,J1   ,201809160435,290,1101001009
CCH ,J1   ,201809160436,290,1101001009
CCH ,J1   ,201809160437,289,1101001009
CCH ,J1   ,201809160438,289,1101001009
CCH ,J1   ,201809160439,288,1101001009
CCH ,J1   ,201809160440,288,1101001009
CCH ,J1   ,201809160441,287,1101001009
CCH ,J1   ,201809160442,286,1101001009
CCH ,J1   ,201809160443,284,1101001009
CCH ,J1   ,201809160444,282,1101001009
CCH ,J1   ,201809160445,281,1101001009
CCH ,J1   ,201809160446,280,1101001009
CCH ,J1   ,201809160447,279,1101001009
CCH ,J1   ,201809160448,279,1101001009
CCH ,J1   ,201809160449,278,1101001009
CCH ,J1   ,201809160450,277,1101001009
CCH ,J1   ,201809160451,276,1101001009
CCH ,J1   ,201809160452,275,1101001009
CCH ,J1   ,201809160453,274,1101001009
CCH ,J1   ,201809160454,273,1101001009
CCH ,J1   ,201809160455,272,1101001009
CCH ,J1   ,201809160456,272,1101001009
CCH ,J1   ,201809160457,272,1101001009
CCH ,J1   ,201809160458,272,1101001009
CCH ,J1   ,201809160459,272,1101001009
CCH ,J1   ,201809160500,271,1101001009
CCH ,J1   ,201809160501,271,1101001009
CCH ,J1   ,201809160502,271,1101001009
CCH ,J1   ,201809160503,271,1101001009
CCH ,J1   ,201809160504,271,1101001009
CCH ,J1   ,201809160505,271,1101001009
CCH ,J1   ,201809160506,272,1101001009
CCH ,J1   ,201809160507,273,1101001009
CCH ,J1   ,201809160508,273,1101001009
CCH ,J1   ,201809160509,273,1101001009
CCH ,J1   ,201809160510,274,1101001009
CCH ,J1   ,201809160511,274,1101001009
CCH ,J1   ,201809160512,275,1101001009
CCH ,J1   ,201809160513,274,1101001009
CCH ,J1   ,201809160514,273,1101001009
CCH ,J1   ,201809160515,270,1101001009
CCH ,J1   ,201809160516,268,1101001009
