CWB ,B1   ,201809160402,134,1001001009
CWB ,B1   ,201809160403,173,1001001009
CWB ,B1   ,201809160404,175,1001001009
CWB ,B1   ,201809160405,213,1001001009
CWB ,B1   ,201809160406,231,1001001009
CWB ,B1   ,201809160407,171,1001001009
CWB ,B1   ,201809160408,132,1001001009
CWB ,B1   ,201809160409,177,1001001009
CWB ,B1   ,201809160410,166,1001001009
CWB ,B1   ,201809160411,161,1001001009
CWB ,B1   ,201809160412,164,1001001009
CWB ,B1   ,201809160413,169,1001001009
CWB ,B1   ,201809160414,153,1001001009
CWB ,B1   ,201809160415,172,1001001009
CWB ,B1   ,201809160416,175,1001001009
CWB ,B1   ,201809160417,175,1001001009
CWB ,B1   ,201809160418,174,1001001009
CWB ,B1   ,201809160419,144,1001001009
CWB ,B1   ,201809160420,156,1001001009
CWB ,B1   ,201809160421,137,1001001009
CWB ,B1   ,201809160422,179,1001001009
CWB ,B1   ,201809160423,196,1001001009
CWB ,B1   ,201809160424,214,1001001009
CWB ,B1   ,201809160425,147,1001001009
CWB ,B1   ,201809160426,159,1001001009
CWB ,B1   ,201809160427,174,1001001009
CWB ,B1   ,201809160428,150,1001001009
CWB ,B1   ,201809160429,154,1001001009
CWB ,B1   ,201809160430,151,1001001009
CWB ,B1   ,201809160431,193,1001001009
CWB ,B1   ,201809160432,131,1001001009
CWB ,B1   ,201809160433,130,1001001009
CWB ,B1   ,201809160434,142,1001001009
CWB ,B1   ,201809160435,117,1001001009
CWB ,B1   ,201809160436,138,1001001009
CWB ,B1   ,201809160437,167,1001001009
CWB ,B1   ,201809160438,148,1001001009
CWB ,B1   ,201809160439,158,1001001009
CWB ,B1   ,201809160440,166,1001001009
CWB ,B1   ,201809160441,105,1001001009
CWB ,B1   ,201809160442,120,1001001009
CWB ,B1   ,201809160443,130,1001001009
CWB ,B1   ,201809160444,140,1001001009
CWB ,B1   ,201809160445,100,1001001009
CWB ,B1   ,201809160446,,
CWB ,B1   ,201809160447,92,1001001009
CWB ,B1   ,201809160448,,
CWB ,B1   ,201809160449,96,1001001009
