BHD ,B1   ,201809160938,127,1001001009
BHD ,B1   ,201809160939,139,1001001009
BHD ,B1   ,201809160940,130,1001001009
BHD ,B1   ,201809160941,133,1001001009
BHD ,B1   ,201809160942,114,1001001009
BHD ,B1   ,201809160943,117,1001001009
BHD ,B1   ,201809160944,123,1001001009
BHD ,B1   ,201809160945,99,1001001009
BHD ,B1   ,201809160946,118,1001001009
BHD ,B1   ,201809160947,128,1001001009
BHD ,B1   ,201809160948,87,1001001009
BHD ,B1   ,201809160949,106,1001001009
BHD ,B1   ,201809160950,113,1001001009
BHD ,B1   ,201809160951,151,1001001009
BHD ,B1   ,201809160952,111,1001001009
BHD ,B1   ,201809160953,193,1001001009
BHD ,B1   ,201809160954,137,1001001009
BHD ,B1   ,201809160955,140,1001001009
BHD ,B1   ,201809160956,129,1001001009
BHD ,B1   ,201809160957,161,1001001009
BHD ,B1   ,201809160958,116,1001001009
BHD ,B1   ,201809160959,142,1001001009
BHD ,B1   ,201809161000,146,1001001009
BHD ,B1   ,201809161001,145,1001001009
BHD ,B1   ,201809161002,167,1001001009
BHD ,B1   ,201809161003,124,1001001009
BHD ,B1   ,201809161004,127,1001001009
BHD ,B1   ,201809161005,124,1001001009
BHD ,B1   ,201809161006,187,1001001009
BHD ,B1   ,201809161007,127,1001001009
BHD ,B1   ,201809161008,137,1001001009
BHD ,B1   ,201809161009,178,1001001009
BHD ,B1   ,201809161010,134,1001001009
BHD ,B1   ,201809161011,149,1001001009
BHD ,B1   ,201809161012,155,1001001009
BHD ,B1   ,201809161013,158,1001001009
BHD ,B1   ,201809161014,129,1001001009
BHD ,B1   ,201809161015,148,1001001009
BHD ,B1   ,201809161016,130,1001001009
BHD ,B1   ,201809161017,152,1001001009
BHD ,B1   ,201809161018,164,1001001009
BHD ,B1   ,201809161019,117,1001001009
BHD ,B1   ,201809161020,156,1001001009
BHD ,B1   ,201809161021,111,1001001009
BHD ,B1   ,201809161022,113,1001001009
BHD ,B1   ,201809161023,163,1001001009
BHD ,B1   ,201809161024,195,1001001009
BHD ,B1   ,201809161025,196,1001001009
BHD ,B1   ,201809161026,174,1001001009
BHD ,B1   ,201809161027,165,1001001009
BHD ,B1   ,201809161028,196,1001001009
BHD ,B1   ,201809161029,166,1001001009
BHD ,B1   ,201809161030,200,1001001009
BHD ,B1   ,201809161031,177,1001001009
BHD ,B1   ,201809161032,159,1001001009
BHD ,B1   ,201809161033,144,1001001009
BHD ,B1   ,201809161034,149,1001001009
BHD ,B1   ,201809161035,126,1001001009
