NP  ,B1   ,201809160342,77,1001001009
NP  ,B1   ,201809160343,93,1001001009
NP  ,B1   ,201809160344,91,1001001009
NP  ,B1   ,201809160345,87,1001001009
NP  ,B1   ,201809160346,107,1001001009
NP  ,B1   ,201809160347,92,1001001009
NP  ,B1   ,201809160348,114,1001001009
NP  ,B1   ,201809160349,106,1001001009
NP  ,B1   ,201809160350,91,1001001009
NP  ,B1   ,201809160351,83,1001001009
NP  ,B1   ,201809160352,76,1001001009
NP  ,B1   ,201809160353,107,1001001009
NP  ,B1   ,201809160354,113,1001001009
NP  ,B1   ,201809160355,112,1001001009
NP  ,B1   ,201809160356,101,1001001009
NP  ,B1   ,201809160357,117,1001001009
NP  ,B1   ,201809160358,103,1001001009
NP  ,B1   ,201809160359,91,1001001009
NP  ,B1   ,201809160400,110,1001001009
NP  ,B1   ,201809160401,119,1001001009
NP  ,B1   ,201809160402,131,1001001009
NP  ,B1   ,201809160403,161,1001001009
NP  ,B1   ,201809160404,132,1001001009
NP  ,B1   ,201809160405,111,1001001009
NP  ,B1   ,201809160406,109,1001001009
NP  ,B1   ,201809160407,128,1001001009
NP  ,B1   ,201809160408,110,1001001009
NP  ,B1   ,201809160409,111,1001001009
NP  ,B1   ,201809160410,105,1001001009
NP  ,B1   ,201809160411,110,1001001009
NP  ,B1   ,201809160412,90,1001001009
NP  ,B1   ,201809160413,114,1001001009
NP  ,B1   ,201809160414,90,1001001009
NP  ,B1   ,201809160415,73,1001001009
NP  ,B1   ,201809160416,105,1001001009
NP  ,B1   ,201809160417,110,1001001009
NP  ,B1   ,201809160418,139,1001001009
NP  ,B1   ,201809160419,154,1001001009
NP  ,B1   ,201809160420,115,1001001009
NP  ,B1   ,201809160421,130,1001001009
NP  ,B1   ,201809160422,90,1001001009
NP  ,B1   ,201809160423,122,1001001009
NP  ,B1   ,201809160424,119,1001001009
NP  ,B1   ,201809160425,92,1001001009
NP  ,B1   ,201809160426,85,1001001009
NP  ,B1   ,201809160427,108,1001001009
NP  ,B1   ,201809160428,89,1001001009
NP  ,B1   ,201809160429,74,1001001009
NP  ,B1   ,201809160430,58,1001001009
NP  ,B1   ,201809160431,78,1001001009
NP  ,B1   ,201809160432,87,1001001009
NP  ,B1   ,201809160433,75,1001001009
NP  ,B1   ,201809160434,83,1001001009
NP  ,B1   ,201809160435,80,1001001009
NP  ,B1   ,201809160436,92,1001001009
NP  ,B1   ,201809160437,58,1001001009
