SHW ,B1   ,201809160319,58,1001001009
SHW ,B1   ,201809160320,59,1001001009
SHW ,B1   ,201809160321,49,1001001009
SHW ,B1   ,201809160322,44,1001001009
SHW ,B1   ,201809160323,56,1001001009
SHW ,B1   ,201809160324,44,1001001009
SHW ,B1   ,201809160325,47,1001001009
SHW ,B1   ,201809160326,54,1001001009
SHW ,B1   ,201809160327,67,1001001009
SHW ,B1   ,201809160328,65,1001001009
SHW ,B1   ,201809160329,61,1001001009
SHW ,B1   ,201809160330,62,1001001009
SHW ,B1   ,201809160331,57,1001001009
SHW ,B1   ,201809160332,53,1001001009
SHW ,B1   ,201809160333,59,1001001009
SHW ,B1   ,201809160334,57,1001001009
SHW ,B1   ,201809160335,86,1001001009
SHW ,B1   ,201809160336,77,1001001009
SHW ,B1   ,201809160337,57,1001001009
SHW ,B1   ,201809160338,57,1001001009
SHW ,B1   ,201809160339,66,1001001009
SHW ,B1   ,201809160340,91,1001001009
SHW ,B1   ,201809160341,82,1001001009
SHW ,B1   ,201809160342,86,1001001009
SHW ,B1   ,201809160343,81,1001001009
SHW ,B1   ,201809160344,65,1001001009
SHW ,B1   ,201809160345,59,1001001009
SHW ,B1   ,201809160346,70,1001001009
SHW ,B1   ,201809160347,64,1001001009
SHW ,B1   ,201809160348,69,1001001009
SHW ,B1   ,201809160349,73,1001001009
SHW ,B1   ,201809160350,81,1001001009
SHW ,B1   ,201809160351,99,1001001009
SHW ,B1   ,201809160352,105,1001001009
SHW ,B1   ,201809160353,109,1001001009
SHW ,B1   ,201809160354,102,1001001009
SHW ,B1   ,201809160355,91,1001001009
SHW ,B1   ,201809160356,79,1001001009
SHW ,B1   ,201809160357,73,1001001009
SHW ,B1   ,201809160358,76,1001001009
SHW ,B1   ,201809160359,68,1001001009
SHW ,B1   ,201809160400,82,1001001009
SHW ,B1   ,201809160401,99,1001001009
SHW ,B1   ,201809160402,95,1001001009
SHW ,B1   ,201809160403,77,1001001009
SHW ,B1   ,201809160404,80,1001001009
SHW ,B1   ,201809160405,89,1001001009
SHW ,B1   ,201809160406,88,1001001009
SHW ,B1   ,201809160407,81,1001001009
SHW ,B1   ,201809160408,94,1001001009
SHW ,B1   ,201809160409,93,1001001009
SHW ,B1   ,201809160410,72,1001001009
SHW ,B1   ,201809160411,78,1001001009
SHW ,B1   ,201809160412,95,1001001009
SHW ,B1   ,201809160413,74,1001001009
SHW ,B1   ,201809160414,69,1001001009
SHW ,B1   ,201809160415,81,1001001009
SHW ,B1   ,201809160416,92,1001001009
SHW ,B1   ,201809160417,85,1001001009
SHW ,B1   ,201809160418,95,1001001009
SHW ,B1   ,201809160419,82,1001001009
SHW ,B1   ,201809160420,83,1001001009
SHW ,B1   ,201809160421,73,1001001009
SHW ,B1   ,201809160422,72,1001001009
SHW ,B1   ,201809160423,73,1001001009
SHW ,B1   ,201809160424,98,1001001009
SHW ,B1   ,201809160425,93,1001001009
SHW ,B1   ,201809160426,84,1001001009
SHW ,B1   ,201809160427,76,1001001009
SHW ,B1   ,201809160428,83,1001001009
SHW ,B1   ,201809160429,109,1001001009
SHW ,B1   ,201809160430,114,1001001009
SHW ,B1   ,201809160431,97,1001001009
SHW ,B1   ,201809160432,69,1001001009
SHW ,B1   ,201809160433,81,1001001009
SHW ,B1   ,201809160434,79,1001001009
SHW ,B1   ,201809160435,83,1001001009
SHW ,B1   ,201809160436,82,1001001009
SHW ,B1   ,201809160437,97,1001001009
SHW ,B1   ,201809160438,103,1001001009
SHW ,B1   ,201809160439,93,1001001009
SHW ,B1   ,201809160440,77,1001001009
SHW ,B1   ,201809160441,74,1001001009
SHW ,B1   ,201809160442,60,1001001009
