TKL ,B1   ,201809160937,51,1001001009
TKL ,B1   ,201809160938,75,1001001009
TKL ,B1   ,201809160939,84,1001001009
TKL ,B1   ,201809160940,50,1001001009
TKL ,B1   ,201809160941,74,1001001009
TKL ,B1   ,201809160942,69,1001001009
TKL ,B1   ,201809160943,64,1001001009
TKL ,B1   ,201809160944,72,1001001009
TKL ,B1   ,201809160945,62,1001001009
TKL ,B1   ,201809160946,64,1001001009
TKL ,B1   ,201809160947,75,1001001009
TKL ,B1   ,201809160948,86,1001001009
TKL ,B1   ,201809160949,78,1001001009
TKL ,B1   ,201809160950,50,1001001009
TKL ,B1   ,201809160951,65,1001001009
TKL ,B1   ,201809160952,46,1001001009
TKL ,B1   ,201809160953,83,1001001009
TKL ,B1   ,201809160954,91,1001001009
TKL ,B1   ,201809160955,108,1001001009
TKL ,B1   ,201809160956,79,1001001009
TKL ,B1   ,201809160957,118,1001001009
TKL ,B1   ,201809160958,85,1001001009
TKL ,B1   ,201809160959,121,1001001009
TKL ,B1   ,201809161000,158,1001001009
TKL ,B1   ,201809161001,191,1001001009
TKL ,B1   ,201809161002,91,1001001009
TKL ,B1   ,201809161003,76,1001001009
TKL ,B1   ,201809161004,147,1001001009
TKL ,B1   ,201809161005,193,1001001009
TKL ,B1   ,201809161006,174,1001001009
TKL ,B1   ,201809161007,123,1001001009
TKL ,B1   ,201809161008,130,1001001009
TKL ,B1   ,201809161009,134,1001001009
TKL ,B1   ,201809161010,152,1001001009
TKL ,B1   ,201809161011,147,1001001009
TKL ,B1   ,201809161012,85,1001001009
TKL ,B1   ,201809161013,123,1001001009
TKL ,B1   ,201809161014,129,1001001009
TKL ,B1   ,201809161015,142,1001001009
TKL ,B1   ,201809161016,146,1001001009
TKL ,B1   ,201809161017,119,1001001009
TKL ,B1   ,201809161018,146,1001001009
TKL ,B1   ,201809161019,138,1001001009
TKL ,B1   ,201809161020,165,1001001009
TKL ,B1   ,201809161021,125,1001001009
TKL ,B1   ,201809161022,128,1001001009
TKL ,B1   ,201809161023,184,1001001009
TKL ,B1   ,201809161024,139,1001001009
TKL ,B1   ,201809161025,152,1001001009
TKL ,B1   ,201809161026,140,1001001009
TKL ,B1   ,201809161027,176,1001001009
TKL ,B1   ,201809161028,163,1001001009
TKL ,B1   ,201809161029,128,1001001009
TKL ,B1   ,201809161030,151,1001001009
TKL ,B1   ,201809161031,163,1001001009
TKL ,B1   ,201809161032,116,1001001009
TKL ,B1   ,201809161033,134,1001001009
TKL ,B1   ,201809161034,149,1001001009
