TC  ,B1   ,201809160904,341,1001001009
TC  ,B1   ,201809160905,317,1001001009
TC  ,B1   ,201809160906,310,1001001009
TC  ,B1   ,201809160907,295,1001001009
TC  ,B1   ,201809160908,324,1001001009
TC  ,B1   ,201809160909,348,1001001009
TC  ,B1   ,201809160910,309,1001001009
TC  ,B1   ,201809160911,310,1001001009
TC  ,B1   ,201809160912,302,1001001009
TC  ,B1   ,201809160913,367,1001001009
TC  ,B1   ,201809160914,340,1001001009
TC  ,B1   ,201809160915,388,1001001009
TC  ,B1   ,201809160916,415,1001001009
TC  ,B1   ,201809160917,432,1001001009
TC  ,B1   ,201809160918,402,1001001009
TC  ,B1   ,201809160919,361,1001001009
TC  ,B1   ,201809160920,365,1001001009
TC  ,B1   ,201809160921,385,1001001009
TC  ,B1   ,201809160922,396,1001001009
TC  ,B1   ,201809160923,321,1001001009
TC  ,B1   ,201809160924,390,1001001009
TC  ,B1   ,201809160925,303,1001001009
TC  ,B1   ,201809160926,295,1001001009
TC  ,B1   ,201809160927,300,1001001009
TC  ,B1   ,201809160928,318,1001001009
TC  ,B1   ,201809160929,340,1001001009
TC  ,B1   ,201809160930,322,1001001009
TC  ,B1   ,201809160931,306,1001001009
TC  ,B1   ,201809160932,361,1001001009
TC  ,B1   ,201809160933,367,1001001009
TC  ,B1   ,201809160934,375,1001001009
TC  ,B1   ,201809160935,301,1001001009
TC  ,B1   ,201809160936,339,1001001009
TC  ,B1   ,201809160937,330,1001001009
TC  ,B1   ,201809160938,350,1001001009
TC  ,B1   ,201809160939,365,1001001009
TC  ,B1   ,201809160940,363,1001001009
TC  ,B1   ,201809160941,357,1001001009
TC  ,B1   ,201809160942,293,1001001009
TC  ,B1   ,201809160943,306,1001001009
TC  ,B1   ,201809160944,307,1001001009
TC  ,B1   ,201809160945,275,1001001009
TC  ,B1   ,201809160946,296,1001001009
TC  ,B1   ,201809160947,300,1001001009
TC  ,B1   ,201809160948,273,1001001009
TC  ,B1   ,201809160949,311,1001001009
TC  ,B1   ,201809160950,379,1001001009
TC  ,B1   ,201809160951,371,1001001009
TC  ,B1   ,201809160952,411,1001001009
TC  ,B1   ,201809160953,403,1001001009
TC  ,B1   ,201809160954,390,1001001009
TC  ,B1   ,201809160955,324,1001001009
