CCH ,B1   ,201809160854,215,1001001009
CCH ,B1   ,201809160855,202,1001001009
CCH ,B1   ,201809160856,200,1001001009
CCH ,B1   ,201809160857,197,1001001009
CCH ,B1   ,201809160858,200,1001001009
CCH ,B1   ,201809160859,222,1001001009
CCH ,B1   ,201809160900,223,1001001009
CCH ,B1   ,201809160901,193,1001001009
CCH ,B1   ,201809160902,177,1001001009
CCH ,B1   ,201809160903,196,1001001009
CCH ,B1   ,201809160904,235,1001001009
CCH ,B1   ,201809160905,254,1001001009
CCH ,B1   ,201809160906,234,1001001009
CCH ,B1   ,201809160907,212,1001001009
CCH ,B1   ,201809160908,214,1001001009
CCH ,B1   ,201809160909,232,1001001009
CCH ,B1   ,201809160910,220,1001001009
CCH ,B1   ,201809160911,258,1001001009
CCH ,B1   ,201809160912,240,1001001009
CCH ,B1   ,201809160913,264,1001001009
CCH ,B1   ,201809160914,241,1001001009
CCH ,B1   ,201809160915,218,1001001009
CCH ,B1   ,201809160916,236,1001001009
CCH ,B1   ,201809160917,258,1001001009
CCH ,B1   ,201809160918,192,1001001009
CCH ,B1   ,201809160919,215,1001001009
CCH ,B1   ,201809160920,223,1001001009
CCH ,B1   ,201809160921,222,1001001009
CCH ,B1   ,201809160922,236,1001001009
CCH ,B1   ,201809160923,228,1001001009
CCH ,B1   ,201809160924,249,1001001009
CCH ,B1   ,201809160925,289,1001001009
CCH ,B1   ,201809160926,293,1001001009
CCH ,B1   ,201809160927,261,1001001009
CCH ,B1   ,201809160928,247,1001001009
CCH ,B1   ,201809160929,263,1001001009
CCH ,B1   ,201809160930,254,1001001009
CCH ,B1   ,201809160931,252,1001001009
CCH ,B1   ,201809160932,211,1001001009
CCH ,B1   ,201809160933,231,1001001009
CCH ,B1   ,201809160934,221,1001001009
CCH ,B1   ,201809160935,216,1001001009
CCH ,B1   ,201809160936,261,1001001009
CCH ,B1   ,201809160937,262,1001001009
CCH ,B1   ,201809160938,221,1001001009
CCH ,B1   ,201809160939,230,1001001009
CCH ,B1   ,201809160940,243,1001001009
CCH ,B1   ,201809160941,205,1001001009
CCH ,B1   ,201809160942,211,1001001009
CCH ,B1   ,201809160943,190,1001001009
CCH ,B1   ,201809160944,227,1001001009
