WLP ,B1   ,201809160352,54,1001001009
WLP ,B1   ,201809160353,36,1001001009
WLP ,B1   ,201809160354,35,1001001009
WLP ,B1   ,201809160355,39,1001001009
WLP ,B1   ,201809160356,34,1001001009
WLP ,B1   ,201809160357,52,1001001009
WLP ,B1   ,201809160358,65,1001001009
WLP ,B1   ,201809160359,68,1001001009
WLP ,B1   ,201809160400,62,1001001009
WLP ,B1   ,201809160401,66,1001001009
WLP ,B1   ,201809160402,52,1001001009
WLP ,B1   ,201809160403,46,1001001009
WLP ,B1   ,201809160404,32,1001001009
WLP ,B1   ,201809160405,50,1001001009
WLP ,B1   ,201809160406,51,1001001009
WLP ,B1   ,201809160407,39,1001001009
WLP ,B1   ,201809160408,57,1001001009
WLP ,B1   ,201809160409,50,1001001009
WLP ,B1   ,201809160410,56,1001001009
WLP ,B1   ,201809160411,58,1001001009
WLP ,B1   ,201809160412,35,1001001009
WLP ,B1   ,201809160413,56,1001001009
WLP ,B1   ,201809160414,85,1001001009
WLP ,B1   ,201809160415,68,1001001009
WLP ,B1   ,201809160416,43,1001001009
WLP ,B1   ,201809160417,61,1001001009
WLP ,B1   ,201809160418,38,1001001009
WLP ,B1   ,201809160419,45,1001001009
WLP ,B1   ,201809160420,48,1001001009
WLP ,B1   ,201809160421,44,1001001009
WLP ,B1   ,201809160422,44,1001001009
WLP ,B1   ,201809160423,42,1001001009
WLP ,B1   ,201809160424,22,1001001009
WLP ,B1   ,201809160425,56,1001001009
WLP ,B1   ,201809160426,32,1001001009
WLP ,B1   ,201809160427,47,1001001009
WLP ,B1   ,201809160428,46,1001001009
WLP ,B1   ,201809160429,44,1001001009
WLP ,B1   ,201809160430,33,1001001009
WLP ,B1   ,201809160431,48,1001001009
WLP ,B1   ,201809160432,62,1001001009
WLP ,B1   ,201809160433,43,1001001009
WLP ,B1   ,201809160434,45,1001001009
WLP ,B1   ,201809160435,49,1001001009
WLP ,B1   ,201809160436,40,1001001009
WLP ,B1   ,201809160437,26,1001001009
WLP ,B1   ,201809160438,48,1001001009
WLP ,B1   ,201809160439,50,1001001009
WLP ,B1   ,201809160440,68,1001001009
WLP ,B1   ,201809160441,36,1001001009
WLP ,B1   ,201809160442,32,1001001009
WLP ,B1   ,201809160443,44,1001001009
WLP ,B1   ,201809160444,45,1001001009
WLP ,B1   ,201809160445,63,1001001009
WLP ,B1   ,201809160446,71,1001001009
WLP ,B1   ,201809160447,63,1001001009
WLP ,B1   ,201809160448,40,1001001009
WLP ,B1   ,201809160449,45,1001001009
WLP ,B1   ,201809160450,75,1001001009
WLP ,B1   ,201809160451,68,1001001009
WLP ,B1   ,201809160452,50,1001001009
WLP ,B1   ,201809160453,60,1001001009
WLP ,B1   ,201809160454,40,1001001009
WLP ,B1   ,201809160455,38,1001001009
WLP ,B1   ,201809160456,30,1001001009
WLP ,B1   ,201809160457,46,1001001009
WLP ,B1   ,201809160458,40,1001001009
WLP ,B1   ,201809160459,50,1001001009
