SE  ,B1   ,201809160528,43,1001001009
SE  ,B1   ,201809160529,32,1001001009
SE  ,B1   ,201809160530,36,1001001009
SE  ,B1   ,201809160531,21,1001001009
SE  ,B1   ,201809160532,37,1001001009
SE  ,B1   ,201809160533,25,1001001009
SE  ,B1   ,201809160534,22,1001001009
SE  ,B1   ,201809160535,43,1001001009
SE  ,B1   ,201809160536,33,1001001009
SE  ,B1   ,201809160537,40,1001001009
SE  ,B1   ,201809160538,50,1001001009
SE  ,B1   ,201809160539,49,1001001009
SE  ,B1   ,201809160540,64,1001001009
SE  ,B1   ,201809160541,68,1001001009
SE  ,B1   ,201809160542,66,1001001009
SE  ,B1   ,201809160543,46,1001001009
SE  ,B1   ,201809160544,58,1001001009
SE  ,B1   ,201809160545,66,1001001009
SE  ,B1   ,201809160546,54,1001001009
SE  ,B1   ,201809160547,48,1001001009
SE  ,B1   ,201809160548,46,1001001009
SE  ,B1   ,201809160549,35,1001001009
SE  ,B1   ,201809160550,47,1001001009
SE  ,B1   ,201809160551,74,1001001009
SE  ,B1   ,201809160552,35,1001001009
SE  ,B1   ,201809160553,53,1001001009
SE  ,B1   ,201809160554,58,1001001009
SE  ,B1   ,201809160555,49,1001001009
SE  ,B1   ,201809160556,35,1001001009
SE  ,B1   ,201809160557,57,1001001009
SE  ,B1   ,201809160558,40,1001001009
SE  ,B1   ,201809160559,54,1001001009
SE  ,B1   ,201809160600,61,1001001009
SE  ,B1   ,201809160601,54,1001001009
SE  ,B1   ,201809160602,41,1001001009
SE  ,B1   ,201809160603,69,1001001009
SE  ,B1   ,201809160604,61,1001001009
SE  ,B1   ,201809160605,64,1001001009
SE  ,B1   ,201809160606,77,1001001009
SE  ,B1   ,201809160607,71,1001001009
SE  ,B1   ,201809160608,29,1001001009
SE  ,B1   ,201809160609,10,1001001009
SE  ,B1   ,201809160610,17,1001001009
SE  ,B1   ,201809160611,28,1001001009
SE  ,B1   ,201809160612,35,1001001009
SE  ,B1   ,201809160613,48,1001001009
SE  ,B1   ,201809160614,48,1001001009
SE  ,B1   ,201809160615,59,1001001009
SE  ,B1   ,201809160616,26,1001001009
SE  ,B1   ,201809160617,80,1001001009
SE  ,B1   ,201809160618,77,1001001009
SE  ,B1   ,201809160619,54,1001001009
SE  ,B1   ,201809160620,68,1001001009
SE  ,B1   ,201809160621,92,1001001009
SE  ,B1   ,201809160622,114,1001001009
SE  ,B1   ,201809160623,67,1001001009
SE  ,B1   ,201809160624,86,1001001009
SE  ,B1   ,201809160625,76,1001001009
SE  ,B1   ,201809160626,74,1001001009
SE  ,B1   ,201809160627,83,1001001009
SE  ,B1   ,201809160628,84,1001001009
SE  ,B1   ,201809160629,82,1001001009
SE  ,B1   ,201809160630,66,1001001009
SE  ,B1   ,201809160631,69,1001001009
SE  ,B1   ,201809160632,88,1001001009
SE  ,B1   ,201809160633,73,1001001009
SE  ,B1   ,201809160634,25,1001001009
SE  ,B1   ,201809160635,40,1001001009
SE  ,B1   ,201809160636,46,1001001009
SE  ,B1   ,201809160637,40,1001001009
SE  ,B1   ,201809160638,46,1001001009
SE  ,B1   ,201809160639,32,1001001009
SE  ,B1   ,201809160640,69,1001001009
SE  ,B1   ,201809160641,46,1001001009
SE  ,B1   ,201809160642,56,1001001009
SE  ,B1   ,201809160643,36,1001001009
SE  ,B1   ,201809160644,28,1001001009
SE  ,B1   ,201809160645,58,1001001009
SE  ,B1   ,201809160646,69,1001001009
SE  ,B1   ,201809160647,84,1001001009
SE  ,B1   ,201809160648,84,1001001009
SE  ,B1   ,201809160649,69,1001001009
SE  ,B1   ,201809160650,104,1001001009
SE  ,B1   ,201809160651,46,1001001009
SE  ,B1   ,201809160652,104,1001001009
SE  ,B1   ,201809160653,86,1001001009
SE  ,B1   ,201809160654,91,1001001009
SE  ,B1   ,201809160655,86,1001001009
SE  ,B1   ,201809160656,36,1001001009
SE  ,B1   ,201809160657,56,1001001009
SE  ,B1   ,201809160658,102,1001001009
SE  ,B1   ,201809160659,96,1001001009
SE  ,B1   ,201809160700,56,1001001009
SE  ,B1   ,201809160701,89,1001001009
SE  ,B1   ,201809160702,52,1001001009
SE  ,B1   ,201809160703,56,1001001009
SE  ,B1   ,201809160704,72,1001001009
SE  ,B1   ,201809160705,67,1001001009
SE  ,B1   ,201809160706,58,1001001009
SE  ,B1   ,201809160707,96,1001001009
SE  ,B1   ,201809160708,90,1001001009
SE  ,B1   ,201809160709,59,1001001009
SE  ,B1   ,201809160710,29,1001001009
SE  ,B1   ,201809160711,57,1001001009
