SEK ,B1   ,201809160332,39,1001001009
SEK ,B1   ,201809160333,40,1001001009
SEK ,B1   ,201809160334,53,1001001009
SEK ,B1   ,201809160335,51,1001001009
SEK ,B1   ,201809160336,67,1001001009
SEK ,B1   ,201809160337,56,1001001009
SEK ,B1   ,201809160338,47,1001001009
SEK ,B1   ,201809160339,40,1001001009
SEK ,B1   ,201809160340,52,1001001009
SEK ,B1   ,201809160341,68,1001001009
SEK ,B1   ,201809160342,88,1001001009
SEK ,B1   ,201809160343,77,1001001009
SEK ,B1   ,201809160344,72,1001001009
SEK ,B1   ,201809160345,81,1001001009
SEK ,B1   ,201809160346,75,1001001009
SEK ,B1   ,201809160347,62,1001001009
SEK ,B1   ,201809160348,43,1001001009
SEK ,B1   ,201809160349,51,1001001009
SEK ,B1   ,201809160350,59,1001001009
SEK ,B1   ,201809160351,40,1001001009
SEK ,B1   ,201809160352,47,1001001009
SEK ,B1   ,201809160353,59,1001001009
SEK ,B1   ,201809160354,64,1001001009
SEK ,B1   ,201809160355,68,1001001009
SEK ,B1   ,201809160356,57,1001001009
SEK ,B1   ,201809160357,66,1001001009
SEK ,B1   ,201809160358,67,1001001009
SEK ,B1   ,201809160359,80,1001001009
SEK ,B1   ,201809160400,75,1001001009
SEK ,B1   ,201809160401,66,1001001009
SEK ,B1   ,201809160402,53,1001001009
SEK ,B1   ,201809160403,58,1001001009
SEK ,B1   ,201809160404,65,1001001009
SEK ,B1   ,201809160405,56,1001001009
SEK ,B1   ,201809160406,78,1001001009
SEK ,B1   ,201809160407,96,1001001009
SEK ,B1   ,201809160408,56,1001001009
SEK ,B1   ,201809160409,52,1001001009
SEK ,B1   ,201809160410,53,1001001009
SEK ,B1   ,201809160411,47,1001001009
SEK ,B1   ,201809160412,60,1001001009
SEK ,B1   ,201809160413,47,1001001009
SEK ,B1   ,201809160414,43,1001001009
SEK ,B1   ,201809160415,50,1001001009
SEK ,B1   ,201809160416,51,1001001009
SEK ,B1   ,201809160417,90,1001001009
SEK ,B1   ,201809160418,54,1001001009
SEK ,B1   ,201809160419,55,1001001009
SEK ,B1   ,201809160420,53,1001001009
SEK ,B1   ,201809160421,57,1001001009
SEK ,B1   ,201809160422,61,1001001009
SEK ,B1   ,201809160423,47,1001001009
SEK ,B1   ,201809160424,49,1001001009
SEK ,B1   ,201809160425,47,1001001009
SEK ,B1   ,201809160426,25,1001001009
SEK ,B1   ,201809160427,34,1001001009
SEK ,B1   ,201809160428,35,1001001009
SEK ,B1   ,201809160429,50,1001001009
SEK ,B1   ,201809160430,41,1001001009
