YTS ,B1   ,201809160316,238,1001001009
YTS ,B1   ,201809160317,248,1001001009
YTS ,B1   ,201809160318,216,1001001009
YTS ,B1   ,201809160319,258,1001001009
YTS ,B1   ,201809160320,258,1001001009
YTS ,B1   ,201809160321,261,1001001009
YTS ,B1   ,201809160322,282,1001001009
YTS ,B1   ,201809160323,247,1001001009
YTS ,B1   ,201809160324,239,1001001009
YTS ,B1   ,201809160325,269,1001001009
YTS ,B1   ,201809160326,270,1001001009
YTS ,B1   ,201809160327,232,1001001009
YTS ,B1   ,201809160328,283,1001001009
YTS ,B1   ,201809160329,,
YTS ,B1   ,201809160330,269,1001001009
YTS ,B1   ,201809160331,243,1001001009
YTS ,B1   ,201809160332,248,1001001009
YTS ,B1   ,201809160333,251,1001001009
YTS ,B1   ,201809160334,261,1001001009
YTS ,B1   ,201809160335,228,1001001009
YTS ,B1   ,201809160336,218,1001001009
YTS ,B1   ,201809160337,258,1001001009
YTS ,B1   ,201809160338,253,1001001009
YTS ,B1   ,201809160339,247,1001001009
YTS ,B1   ,201809160340,227,1001001009
YTS ,B1   ,201809160341,247,1001001009
YTS ,B1   ,201809160342,244,1001001009
YTS ,B1   ,201809160343,279,1001001009
YTS ,B1   ,201809160344,307,1001001009
YTS ,B1   ,201809160345,254,1001001009
YTS ,B1   ,201809160346,252,1001001009
YTS ,B1   ,201809160347,295,1001001009
YTS ,B1   ,201809160348,240,1001001009
YTS ,B1   ,201809160349,236,1001001009
YTS ,B1   ,201809160350,260,1001001009
YTS ,B1   ,201809160351,276,1001001009
YTS ,B1   ,201809160352,267,1001001009
YTS ,B1   ,201809160353,252,1001001009
YTS ,B1   ,201809160354,226,1001001009
YTS ,B1   ,201809160355,273,1001001009
YTS ,B1   ,201809160356,249,1001001009
YTS ,B1   ,201809160357,236,1001001009
YTS ,B1   ,201809160358,241,1001001009
YTS ,B1   ,201809160359,275,1001001009
YTS ,B1   ,201809160400,255,1001001009
YTS ,B1   ,201809160401,255,1001001009
YTS ,B1   ,201809160402,254,1001001009
YTS ,B1   ,201809160403,243,1001001009
YTS ,B1   ,201809160404,282,1001001009
YTS ,B1   ,201809160405,285,1001001009
YTS ,B1   ,201809160406,284,1001001009
YTS ,B1   ,201809160407,297,1001001009
YTS ,B1   ,201809160408,236,1001001009
YTS ,B1   ,201809160409,261,1001001009
YTS ,B1   ,201809160410,262,1001001009
YTS ,B1   ,201809160411,268,1001001009
YTS ,B1   ,201809160412,244,1001001009
YTS ,B1   ,201809160413,279,1001001009
YTS ,B1   ,201809160414,286,1001001009
YTS ,B1   ,201809160415,285,1001001009
YTS ,B1   ,201809160416,234,1001001009
YTS ,B1   ,201809160417,209,1001001009
YTS ,B1   ,201809160418,213,1001001009
YTS ,B1   ,201809160419,217,1001001009
YTS ,B1   ,201809160420,241,1001001009
YTS ,B1   ,201809160421,221,1001001009
YTS ,B1   ,201809160422,204,1001001009
YTS ,B1   ,201809160423,245,1001001009
YTS ,B1   ,201809160424,223,1001001009
YTS ,B1   ,201809160425,207,1001001009
YTS ,B1   ,201809160426,251,1001001009
YTS ,B1   ,201809160427,244,1001001009
YTS ,B1   ,201809160428,200,1001001009
YTS ,B1   ,201809160429,234,1001001009
YTS ,B1   ,201809160430,232,1001001009
YTS ,B1   ,201809160431,205,1001001009
YTS ,B1   ,201809160432,209,1001001009
YTS ,B1   ,201809160433,229,1001001009
YTS ,B1   ,201809160434,231,1001001009
YTS ,B1   ,201809160435,244,1001001009
YTS ,B1   ,201809160436,251,1001001009
YTS ,B1   ,201809160437,258,1001001009
YTS ,B1   ,201809160438,259,1001001009
YTS ,B1   ,201809160439,245,1001001009
YTS ,B1   ,201809160440,289,1001001009
YTS ,B1   ,201809160441,283,1001001009
YTS ,B1   ,201809160442,260,1001001009
YTS ,B1   ,201809160443,220,1001001009
YTS ,B1   ,201809160444,211,1001001009
YTS ,B1   ,201809160445,215,1001001009
YTS ,B1   ,201809160446,213,1001001009
YTS ,B1   ,201809160447,229,1001001009
YTS ,B1   ,201809160448,249,1001001009
YTS ,B1   ,201809160449,235,1001001009
YTS ,B1   ,201809160450,228,1001001009
YTS ,B1   ,201809160451,261,1001001009
YTS ,B1   ,201809160452,272,1001001009
YTS ,B1   ,201809160453,271,1001001009
YTS ,B1   ,201809160454,244,1001001009
YTS ,B1   ,201809160455,248,1001001009
YTS ,B1   ,201809160456,208,1001001009
YTS ,B1   ,201809160457,259,1001001009
YTS ,B1   ,201809160458,209,1001001009
YTS ,B1   ,201809160459,235,1001001009
YTS ,B1   ,201809160500,225,1001001009
YTS ,B1   ,201809160501,256,1001001009
YTS ,B1   ,201809160502,235,1001001009
YTS ,B1   ,201809160503,236,1001001009
YTS ,B1   ,201809160504,230,1001001009
YTS ,B1   ,201809160505,232,1001001009
YTS ,B1   ,201809160506,230,1001001009
YTS ,B1   ,201809160507,201,1001001009
YTS ,B1   ,201809160508,193,1001001009
YTS ,B1   ,201809160509,227,1001001009
YTS ,B1   ,201809160510,224,1001001009
YTS ,B1   ,201809160511,223,1001001009
YTS ,B1   ,201809160512,214,1001001009
YTS ,B1   ,201809160513,218,1001001009
YTS ,B1   ,201809160514,274,1001001009
YTS ,B1   ,201809160515,316,1001001009
YTS ,B1   ,201809160516,326,1001001009
YTS ,B1   ,201809160517,250,1001001009
YTS ,B1   ,201809160518,302,1001001009
YTS ,B1   ,201809160519,301,1001001009
YTS ,B1   ,201809160520,260,1001001009
