TKL ,J1   ,201809160444,302,1101001009
TKL ,J1   ,201809160445,302,1101001009
TKL ,J1   ,201809160446,302,1101001009
TKL ,J1   ,201809160447,302,1101001009
TKL ,J1   ,201809160448,301,1101001009
TKL ,J1   ,201809160449,301,1101001009
TKL ,J1   ,201809160450,301,1101001009
TKL ,J1   ,201809160451,301,1101001009
TKL ,J1   ,201809160452,301,1101001009
TKL ,J1   ,201809160453,301,1101001009
TKL ,J1   ,201809160454,301,1101001009
TKL ,J1   ,201809160455,301,1101001009
TKL ,J1   ,201809160456,301,1101001009
TKL ,J1   ,201809160457,300,1101001009
TKL ,J1   ,201809160458,299,1101001009
TKL ,J1   ,201809160459,298,1101001009
TKL ,J1   ,201809160500,297,1101001009
TKL ,J1   ,201809160501,295,1101001009
TKL ,J1   ,201809160502,293,1101001009
TKL ,J1   ,201809160503,292,1101001009
TKL ,J1   ,201809160504,291,1101001009
TKL ,J1   ,201809160505,290,1101001009
TKL ,J1   ,201809160506,289,1101001009
TKL ,J1   ,201809160507,288,1101001009
TKL ,J1   ,201809160508,287,1101001009
TKL ,J1   ,201809160509,287,1101001009
TKL ,J1   ,201809160510,287,1101001009
TKL ,J1   ,201809160511,286,1101001009
TKL ,J1   ,201809160512,285,1101001009
TKL ,J1   ,201809160513,285,1101001009
TKL ,J1   ,201809160514,284,1101001009
TKL ,J1   ,201809160515,284,1101001009
TKL ,J1   ,201809160516,285,1101001009
TKL ,J1   ,201809160517,285,1101001009
TKL ,J1   ,201809160518,283,1101001009
TKL ,J1   ,201809160519,279,1101001009
TKL ,J1   ,201809160520,275,1101001009
TKL ,J1   ,201809160521,272,1101001009
TKL ,J1   ,201809160522,268,1101001009
TKL ,J1   ,201809160523,267,1101001009
TKL ,J1   ,201809160524,265,1101001009
TKL ,J1   ,201809160525,264,1101001009
TKL ,J1   ,201809160526,264,1101001009
TKL ,J1   ,201809160527,265,1101001009
TKL ,J1   ,201809160528,266,1101001009
TKL ,J1   ,201809160529,267,1101001009
TKL ,J1   ,201809160530,268,1101001009
TKL ,J1   ,201809160531,269,1101001009
TKL ,J1   ,201809160532,268,1101001009
TKL ,J1   ,201809160533,267,1101001009
TKL ,J1   ,201809160534,266,1101001009
TKL ,J1   ,201809160535,265,1101001009
TKL ,J1   ,201809160536,265,1101001009
TKL ,J1   ,201809160537,264,1101001009
TKL ,J1   ,201809160538,263,1101001009
TKL ,J1   ,201809160539,262,1101001009
TKL ,J1   ,201809160540,262,1101001009
TKL ,J1   ,201809160541,263,1101001009
TKL ,J1   ,201809160542,263,1101001009
TKL ,J1   ,201809160543,262,1101001009
TKL ,J1   ,201809160544,261,1101001009
TKL ,J1   ,201809160545,261,1101001009
TKL ,J1   ,201809160546,261,1101001009
TKL ,J1   ,201809160547,261,1101001009
TKL ,J1   ,201809160548,260,1101001009
TKL ,J1   ,201809160549,259,1101001009
TKL ,J1   ,201809160550,258,1101001009
TKL ,J1   ,201809160551,257,1101001009
TKL ,J1   ,201809160552,257,1101001009
TKL ,J1   ,201809160553,256,1101001009
TKL ,J1   ,201809160554,255,1101001009
TKL ,J1   ,201809160555,255,1101001009
TKL ,J1   ,201809160556,257,1101001009
TKL ,J1   ,201809160557,258,1101001009
TKL ,J1   ,201809160558,258,1101001009
TKL ,J1   ,201809160559,257,1101001009
TKL ,J1   ,201809160600,257,1101001009
TKL ,J1   ,201809160601,257,1101001009
TKL ,J1   ,201809160602,257,1101001009
TKL ,J1   ,201809160603,257,1101001009
TKL ,J1   ,201809160604,256,1101001009
TKL ,J1   ,201809160605,256,1101001009
TKL ,J1   ,201809160606,255,1101001009
TKL ,J1   ,201809160607,254,1101001009
TKL ,J1   ,201809160608,254,1101001009
TKL ,J1   ,201809160609,255,1101001009
TKL ,J1   ,201809160610,256,1101001009
TKL ,J1   ,201809160611,256,1101001009
TKL ,J1   ,201809160612,255,1101001009
TKL ,J1   ,201809160613,254,1101001009
TKL ,J1   ,201809160614,252,1101001009
TKL ,J1   ,201809160615,250,1101001009
TKL ,J1   ,201809160616,249,1101001009
TKL ,J1   ,201809160617,248,1101001009
TKL ,J1   ,201809160618,248,1101001009
TKL ,J1   ,201809160619,247,1101001009
TKL ,J1   ,201809160620,247,1101001009
TKL ,J1   ,201809160621,247,1101001009
TKL ,J1   ,201809160622,248,1101001009
TKL ,J1   ,201809160623,248,1101001009
TKL ,J1   ,201809160624,248,1101001009
TKL ,J1   ,201809160625,248,1101001009
TKL ,J1   ,201809160626,248,1101001009
TKL ,J1   ,201809160627,249,1101001009
TKL ,J1   ,201809160628,249,1101001009
TKL ,J1   ,201809160629,249,1101001009
TKL ,J1   ,201809160630,249,1101001009
TKL ,J1   ,201809160631,251,1101001009
TKL ,J1   ,201809160632,253,1101001009
TKL ,J1   ,201809160633,252,1101001009
TKL ,J1   ,201809160634,253,1101001009
TKL ,J1   ,201809160635,255,1101001009
TKL ,J1   ,201809160636,254,1101001009
TKL ,J1   ,201809160637,253,1101001009
TKL ,J1   ,201809160638,251,1101001009
TKL ,J1   ,201809160639,250,1101001009
TKL ,J1   ,201809160640,250,1101001009
TKL ,J1   ,201809160641,250,1101001009
TKL ,J1   ,201809160642,251,1101001009
TKL ,J1   ,201809160643,250,1101001009
TKL ,J1   ,201809160644,249,1101001009
TKL ,J1   ,201809160645,249,1101001009
TKL ,J1   ,201809160646,249,1101001009
TKL ,J1   ,201809160647,248,1101001009
TKL ,J1   ,201809160648,248,1101001009
TKL ,J1   ,201809160649,248,1101001009
TKL ,J1   ,201809160650,249,1101001009
TKL ,J1   ,201809160651,249,1101001009
TKL ,J1   ,201809160652,249,1101001009
TKL ,J1   ,201809160653,248,1101001009
TKL ,J1   ,201809160654,248,1101001009
TKL ,J1   ,201809160655,249,1101001009
TKL ,J1   ,201809160656,249,1101001009
TKL ,J1   ,201809160657,252,1101001009
TKL ,J1   ,201809160658,254,1101001009
TKL ,J1   ,201809160659,254,1101001009
TKL ,J1   ,201809160700,254,1101001009
TKL ,J1   ,201809160701,253,1101001009
TKL ,J1   ,201809160702,252,1101001009
TKL ,J1   ,201809160703,252,1101001009
TKL ,J1   ,201809160704,253,1101001009
TKL ,J1   ,201809160705,252,1101001009
TKL ,J1   ,201809160706,252,1101001009
TKL ,J1   ,201809160707,251,1101001009
TKL ,J1   ,201809160708,251,1101001009
TKL ,J1   ,201809160709,250,1101001009
TKL ,J1   ,201809160710,249,1101001009
TKL ,J1   ,201809160711,249,1101001009
TKL ,J1   ,201809160712,249,1101001009
TKL ,J1   ,201809160713,248,1101001009
TKL ,J1   ,201809160714,248,1101001009
TKL ,J1   ,201809160715,248,1101001009
TKL ,J1   ,201809160716,248,1101001009
TKL ,J1   ,201809160717,249,1101001009
TKL ,J1   ,201809160718,250,1101001009
TKL ,J1   ,201809160719,250,1101001009
TKL ,J1   ,201809160720,249,1101001009
TKL ,J1   ,201809160721,249,1101001009
TKL ,J1   ,201809160722,248,1101001009
TKL ,J1   ,201809160723,248,1101001009
TKL ,J1   ,201809160724,248,1101001009
TKL ,J1   ,201809160725,248,1101001009
