SHL ,B1   ,201809160319,96,1001001009
SHL ,B1   ,201809160320,76,1001001009
SHL ,B1   ,201809160321,88,1001001009
SHL ,B1   ,201809160322,78,1001001009
SHL ,B1   ,201809160323,65,1001001009
SHL ,B1   ,201809160324,57,1001001009
SHL ,B1   ,201809160325,91,1001001009
SHL ,B1   ,201809160326,79,1001001009
SHL ,B1   ,201809160327,97,1001001009
SHL ,B1   ,201809160328,66,1001001009
SHL ,B1   ,201809160329,81,1001001009
SHL ,B1   ,201809160330,90,1001001009
SHL ,B1   ,201809160331,100,1001001009
SHL ,B1   ,201809160332,78,1001001009
SHL ,B1   ,201809160333,74,1001001009
SHL ,B1   ,201809160334,90,1001001009
SHL ,B1   ,201809160335,82,1001001009
SHL ,B1   ,201809160336,89,1001001009
SHL ,B1   ,201809160337,98,1001001009
SHL ,B1   ,201809160338,86,1001001009
SHL ,B1   ,201809160339,98,1001001009
SHL ,B1   ,201809160340,83,1001001009
SHL ,B1   ,201809160341,84,1001001009
SHL ,B1   ,201809160342,104,1001001009
SHL ,B1   ,201809160343,94,1001001009
SHL ,B1   ,201809160344,76,1001001009
SHL ,B1   ,201809160345,80,1001001009
SHL ,B1   ,201809160346,61,1001001009
SHL ,B1   ,201809160347,91,1001001009
SHL ,B1   ,201809160348,81,1001001009
SHL ,B1   ,201809160349,74,1001001009
SHL ,B1   ,201809160350,84,1001001009
SHL ,B1   ,201809160351,95,1001001009
SHL ,B1   ,201809160352,80,1001001009
SHL ,B1   ,201809160353,85,1001001009
SHL ,B1   ,201809160354,92,1001001009
SHL ,B1   ,201809160355,72,1001001009
SHL ,B1   ,201809160356,65,1001001009
SHL ,B1   ,201809160357,74,1001001009
SHL ,B1   ,201809160358,83,1001001009
SHL ,B1   ,201809160359,75,1001001009
SHL ,B1   ,201809160400,73,1001001009
SHL ,B1   ,201809160401,76,1001001009
SHL ,B1   ,201809160402,62,1001001009
SHL ,B1   ,201809160403,73,1001001009
SHL ,B1   ,201809160404,81,1001001009
SHL ,B1   ,201809160405,61,1001001009
SHL ,B1   ,201809160406,58,1001001009
SHL ,B1   ,201809160407,62,1001001009
SHL ,B1   ,201809160408,74,1001001009
SHL ,B1   ,201809160409,68,1001001009
SHL ,B1   ,201809160410,59,1001001009
SHL ,B1   ,201809160411,57,1001001009
SHL ,B1   ,201809160412,57,1001001009
SHL ,B1   ,201809160413,59,1001001009
SHL ,B1   ,201809160414,62,1001001009
SHL ,B1   ,201809160415,55,1001001009
SHL ,B1   ,201809160416,67,1001001009
SHL ,B1   ,201809160417,68,1001001009
SHL ,B1   ,201809160418,52,1001001009
SHL ,B1   ,201809160419,63,1001001009
SHL ,B1   ,201809160420,63,1001001009
SHL ,B1   ,201809160421,33,1001001009
SHL ,B1   ,201809160422,62,1001001009
SHL ,B1   ,201809160423,64,1001001009
SHL ,B1   ,201809160424,65,1001001009
SHL ,B1   ,201809160425,58,1001001009
SHL ,B1   ,201809160426,61,1001001009
SHL ,B1   ,201809160427,51,1001001009
SHL ,B1   ,201809160428,37,1001001009
SHL ,B1   ,201809160429,64,1001001009
SHL ,B1   ,201809160430,69,1001001009
SHL ,B1   ,201809160431,85,1001001009
SHL ,B1   ,201809160432,90,1001001009
SHL ,B1   ,201809160433,73,1001001009
SHL ,B1   ,201809160434,74,1001001009
SHL ,B1   ,201809160435,72,1001001009
SHL ,B1   ,201809160436,69,1001001009
SHL ,B1   ,201809160437,64,1001001009
SHL ,B1   ,201809160438,35,1001001009
SHL ,B1   ,201809160439,44,1001001009
SHL ,B1   ,201809160440,61,1001001009
SHL ,B1   ,201809160441,58,1001001009
SHL ,B1   ,201809160442,83,1001001009
SHL ,B1   ,201809160443,69,1001001009
SHL ,B1   ,201809160444,62,1001001009
SHL ,B1   ,201809160445,56,1001001009
SHL ,B1   ,201809160446,57,1001001009
SHL ,B1   ,201809160447,74,1001001009
SHL ,B1   ,201809160448,68,1001001009
SHL ,B1   ,201809160449,86,1001001009
SHL ,B1   ,201809160450,70,1001001009
SHL ,B1   ,201809160451,56,1001001009
SHL ,B1   ,201809160452,52,1001001009
SHL ,B1   ,201809160453,66,1001001009
SHL ,B1   ,201809160454,59,1001001009
SHL ,B1   ,201809160455,53,1001001009
SHL ,B1   ,201809160456,59,1001001009
SHL ,B1   ,201809160457,55,1001001009
SHL ,B1   ,201809160458,54,1001001009
SHL ,B1   ,201809160459,51,1001001009
SHL ,B1   ,201809160500,60,1001001009
SHL ,B1   ,201809160501,60,1001001009
SHL ,B1   ,201809160502,63,1001001009
SHL ,B1   ,201809160503,75,1001001009
SHL ,B1   ,201809160504,76,1001001009
SHL ,B1   ,201809160505,71,1001001009
SHL ,B1   ,201809160506,74,1001001009
SHL ,B1   ,201809160507,59,1001001009
SHL ,B1   ,201809160508,48,1001001009
SHL ,B1   ,201809160509,71,1001001009
SHL ,B1   ,201809160510,46,1001001009
SHL ,B1   ,201809160511,42,1001001009
SHL ,B1   ,201809160512,34,1001001009
SHL ,B1   ,201809160513,42,1001001009
SHL ,B1   ,201809160514,22,1001001009
SHL ,B1   ,201809160515,55,1001001009
SHL ,B1   ,201809160516,39,1001001009
SHL ,B1   ,201809160517,49,1001001009
SHL ,B1   ,201809160518,36,1001001009
SHL ,B1   ,201809160519,37,1001001009
SHL ,B1   ,201809160520,23,1001001009
SHL ,B1   ,201809160521,46,1001001009
SHL ,B1   ,201809160522,56,1001001009
SHL ,B1   ,201809160523,50,1001001009
SHL ,B1   ,201809160524,41,1001001009
SHL ,B1   ,201809160525,42,1001001009
SHL ,B1   ,201809160526,19,1001001009
SHL ,B1   ,201809160527,17,1001001009
SHL ,B1   ,201809160528,22,1001001009
SHL ,B1   ,201809160529,30,1001001009
SHL ,B1   ,201809160530,32,1001001009
SHL ,B1   ,201809160531,30,1001001009
SHL ,B1   ,201809160532,31,1001001009
SHL ,B1   ,201809160533,24,1001001009
SHL ,B1   ,201809160534,29,1001001009
SHL ,B1   ,201809160535,45,1001001009
SHL ,B1   ,201809160536,27,1001001009
SHL ,B1   ,201809160537,19,1001001009
SHL ,B1   ,201809160538,2,1001001009
SHL ,B1   ,201809160539,1,1001001009
SHL ,B1   ,201809160540,13,1001001009
SHL ,B1   ,201809160541,26,1001001009
SHL ,B1   ,201809160542,26,1001001009
SHL ,B1   ,201809160543,39,1001001009
SHL ,B1   ,201809160544,44,1001001009
SHL ,B1   ,201809160545,41,1001001009
SHL ,B1   ,201809160546,29,1001001009
SHL ,B1   ,201809160547,27,1001001009
SHL ,B1   ,201809160548,75,1001001009
SHL ,B1   ,201809160549,59,1001001009
SHL ,B1   ,201809160550,42,1001001009
SHL ,B1   ,201809160551,46,1001001009
