WGL ,B1   ,201809160612,241,1001001009
WGL ,B1   ,201809160613,229,1001001009
WGL ,B1   ,201809160614,248,1001001009
WGL ,B1   ,201809160615,256,1001001009
WGL ,B1   ,201809160616,270,1001001009
WGL ,B1   ,201809160617,253,1001001009
WGL ,B1   ,201809160618,241,1001001009
WGL ,B1   ,201809160619,218,1001001009
WGL ,B1   ,201809160620,241,1001001009
WGL ,B1   ,201809160621,234,1001001009
WGL ,B1   ,201809160622,238,1001001009
WGL ,B1   ,201809160623,247,1001001009
WGL ,B1   ,201809160624,262,1001001009
WGL ,B1   ,201809160625,284,1001001009
WGL ,B1   ,201809160626,280,1001001009
WGL ,B1   ,201809160627,263,1001001009
WGL ,B1   ,201809160628,275,1001001009
WGL ,B1   ,201809160629,252,1001001009
WGL ,B1   ,201809160630,253,1001001009
WGL ,B1   ,201809160631,251,1001001009
WGL ,B1   ,201809160632,248,1001001009
WGL ,B1   ,201809160633,249,1001001009
WGL ,B1   ,201809160634,268,1001001009
WGL ,B1   ,201809160635,257,1001001009
WGL ,B1   ,201809160636,255,1001001009
WGL ,B1   ,201809160637,256,1001001009
WGL ,B1   ,201809160638,244,1001001009
WGL ,B1   ,201809160639,256,1001001009
WGL ,B1   ,201809160640,247,1001001009
WGL ,B1   ,201809160641,232,1001001009
WGL ,B1   ,201809160642,258,1001001009
WGL ,B1   ,201809160643,244,1001001009
WGL ,B1   ,201809160644,243,1001001009
WGL ,B1   ,201809160645,241,1001001009
WGL ,B1   ,201809160646,254,1001001009
WGL ,B1   ,201809160647,257,1001001009
WGL ,B1   ,201809160648,252,1001001009
WGL ,B1   ,201809160649,249,1001001009
WGL ,B1   ,201809160650,246,1001001009
WGL ,B1   ,201809160651,235,1001001009
WGL ,B1   ,201809160652,244,1001001009
WGL ,B1   ,201809160653,243,1001001009
WGL ,B1   ,201809160654,254,1001001009
WGL ,B1   ,201809160655,261,1001001009
WGL ,B1   ,201809160656,272,1001001009
WGL ,B1   ,201809160657,263,1001001009
WGL ,B1   ,201809160658,261,1001001009
WGL ,B1   ,201809160659,249,1001001009
WGL ,B1   ,201809160700,238,1001001009
WGL ,B1   ,201809160701,257,1001001009
WGL ,B1   ,201809160702,252,1001001009
WGL ,B1   ,201809160703,259,1001001009
WGL ,B1   ,201809160704,248,1001001009
WGL ,B1   ,201809160705,246,1001001009
WGL ,B1   ,201809160706,250,1001001009
WGL ,B1   ,201809160707,238,1001001009
WGL ,B1   ,201809160708,260,1001001009
WGL ,B1   ,201809160709,268,1001001009
WGL ,B1   ,201809160710,259,1001001009
WGL ,B1   ,201809160711,265,1001001009
WGL ,B1   ,201809160712,242,1001001009
WGL ,B1   ,201809160713,261,1001001009
WGL ,B1   ,201809160714,245,1001001009
WGL ,B1   ,201809160715,240,1001001009
WGL ,B1   ,201809160716,239,1001001009
WGL ,B1   ,201809160717,250,1001001009
WGL ,B1   ,201809160718,230,1001001009
WGL ,B1   ,201809160719,241,1001001009
WGL ,B1   ,201809160720,243,1001001009
WGL ,B1   ,201809160721,217,1001001009
WGL ,B1   ,201809160722,227,1001001009
WGL ,B1   ,201809160723,243,1001001009
WGL ,B1   ,201809160724,248,1001001009
WGL ,B1   ,201809160725,246,1001001009
WGL ,B1   ,201809160726,259,1001001009
WGL ,B1   ,201809160727,232,1001001009
WGL ,B1   ,201809160728,230,1001001009
WGL ,B1   ,201809160729,232,1001001009
WGL ,B1   ,201809160730,207,1001001009
WGL ,B1   ,201809160731,220,1001001009
WGL ,B1   ,201809160732,220,1001001009
