SLW ,B1   ,201809160400,58,1001001009
SLW ,B1   ,201809160401,79,1001001009
SLW ,B1   ,201809160402,68,1001001009
SLW ,B1   ,201809160403,56,1001001009
SLW ,B1   ,201809160404,49,1001001009
SLW ,B1   ,201809160405,62,1001001009
SLW ,B1   ,201809160406,48,1001001009
SLW ,B1   ,201809160407,56,1001001009
SLW ,B1   ,201809160408,63,1001001009
SLW ,B1   ,201809160409,65,1001001009
SLW ,B1   ,201809160410,70,1001001009
SLW ,B1   ,201809160411,54,1001001009
SLW ,B1   ,201809160412,54,1001001009
SLW ,B1   ,201809160413,52,1001001009
SLW ,B1   ,201809160414,61,1001001009
SLW ,B1   ,201809160415,60,1001001009
SLW ,B1   ,201809160416,69,1001001009
SLW ,B1   ,201809160417,69,1001001009
SLW ,B1   ,201809160418,71,1001001009
SLW ,B1   ,201809160419,45,1001001009
SLW ,B1   ,201809160420,57,1001001009
SLW ,B1   ,201809160421,60,1001001009
SLW ,B1   ,201809160422,57,1001001009
SLW ,B1   ,201809160423,61,1001001009
SLW ,B1   ,201809160424,88,1001001009
SLW ,B1   ,201809160425,80,1001001009
SLW ,B1   ,201809160426,83,1001001009
SLW ,B1   ,201809160427,72,1001001009
SLW ,B1   ,201809160428,68,1001001009
SLW ,B1   ,201809160429,61,1001001009
SLW ,B1   ,201809160430,66,1001001009
SLW ,B1   ,201809160431,67,1001001009
SLW ,B1   ,201809160432,95,1001001009
SLW ,B1   ,201809160433,70,1001001009
SLW ,B1   ,201809160434,56,1001001009
SLW ,B1   ,201809160435,68,1001001009
SLW ,B1   ,201809160436,84,1001001009
SLW ,B1   ,201809160437,77,1001001009
SLW ,B1   ,201809160438,82,1001001009
SLW ,B1   ,201809160439,85,1001001009
SLW ,B1   ,201809160440,73,1001001009
SLW ,B1   ,201809160441,80,1001001009
SLW ,B1   ,201809160442,90,1001001009
SLW ,B1   ,201809160443,77,1001001009
SLW ,B1   ,201809160444,76,1001001009
SLW ,B1   ,201809160445,62,1001001009
SLW ,B1   ,201809160446,76,1001001009
SLW ,B1   ,201809160447,64,1001001009
SLW ,B1   ,201809160448,64,1001001009
SLW ,B1   ,201809160449,61,1001001009
SLW ,B1   ,201809160450,61,1001001009
SLW ,B1   ,201809160451,64,1001001009
SLW ,B1   ,201809160452,48,1001001009
SLW ,B1   ,201809160453,54,1001001009
SLW ,B1   ,201809160454,47,1001001009
SLW ,B1   ,201809160455,45,1001001009
SLW ,B1   ,201809160456,50,1001001009
SLW ,B1   ,201809160457,48,1001001009
SLW ,B1   ,201809160458,67,1001001009
SLW ,B1   ,201809160459,61,1001001009
SLW ,B1   ,201809160500,75,1001001009
SLW ,B1   ,201809160501,77,1001001009
SLW ,B1   ,201809160502,70,1001001009
SLW ,B1   ,201809160503,71,1001001009
SLW ,B1   ,201809160504,68,1001001009
SLW ,B1   ,201809160505,71,1001001009
SLW ,B1   ,201809160506,75,1001001009
SLW ,B1   ,201809160507,77,1001001009
SLW ,B1   ,201809160508,60,1001001009
SLW ,B1   ,201809160509,76,1001001009
SLW ,B1   ,201809160510,74,1001001009
SLW ,B1   ,201809160511,68,1001001009
SLW ,B1   ,201809160512,70,1001001009
SLW ,B1   ,201809160513,65,1001001009
SLW ,B1   ,201809160514,68,1001001009
SLW ,B1   ,201809160515,64,1001001009
SLW ,B1   ,201809160516,66,1001001009
SLW ,B1   ,201809160517,64,1001001009
SLW ,B1   ,201809160518,60,1001001009
SLW ,B1   ,201809160519,56,1001001009
SLW ,B1   ,201809160520,63,1001001009
SLW ,B1   ,201809160521,62,1001001009
SLW ,B1   ,201809160522,68,1001001009
SLW ,B1   ,201809160523,71,1001001009
SLW ,B1   ,201809160524,99,1001001009
SLW ,B1   ,201809160525,87,1001001009
SLW ,B1   ,201809160526,79,1001001009
SLW ,B1   ,201809160527,86,1001001009
