TPK ,B1   ,201809160533,58,1001001009
TPK ,B1   ,201809160534,54,1001001009
TPK ,B1   ,201809160535,43,1001001009
TPK ,B1   ,201809160536,82,1001001009
TPK ,B1   ,201809160537,68,1001001009
TPK ,B1   ,201809160538,40,1001001009
TPK ,B1   ,201809160539,47,1001001009
TPK ,B1   ,201809160540,74,1001001009
TPK ,B1   ,201809160541,84,1001001009
TPK ,B1   ,201809160542,89,1001001009
TPK ,B1   ,201809160543,87,1001001009
TPK ,B1   ,201809160544,96,1001001009
TPK ,B1   ,201809160545,133,1001001009
TPK ,B1   ,201809160546,110,1001001009
TPK ,B1   ,201809160547,66,1001001009
TPK ,B1   ,201809160548,63,1001001009
TPK ,B1   ,201809160549,71,1001001009
TPK ,B1   ,201809160550,69,1001001009
TPK ,B1   ,201809160551,56,1001001009
TPK ,B1   ,201809160552,63,1001001009
TPK ,B1   ,201809160553,97,1001001009
TPK ,B1   ,201809160554,50,1001001009
TPK ,B1   ,201809160555,67,1001001009
TPK ,B1   ,201809160556,98,1001001009
TPK ,B1   ,201809160557,73,1001001009
TPK ,B1   ,201809160558,52,1001001009
TPK ,B1   ,201809160559,68,1001001009
TPK ,B1   ,201809160600,62,1001001009
TPK ,B1   ,201809160601,49,1001001009
TPK ,B1   ,201809160602,86,1001001009
TPK ,B1   ,201809160603,94,1001001009
TPK ,B1   ,201809160604,106,1001001009
TPK ,B1   ,201809160605,109,1001001009
TPK ,B1   ,201809160606,107,1001001009
TPK ,B1   ,201809160607,80,1001001009
TPK ,B1   ,201809160608,75,1001001009
TPK ,B1   ,201809160609,84,1001001009
TPK ,B1   ,201809160610,98,1001001009
TPK ,B1   ,201809160611,76,1001001009
TPK ,B1   ,201809160612,75,1001001009
TPK ,B1   ,201809160613,82,1001001009
TPK ,B1   ,201809160614,70,1001001009
TPK ,B1   ,201809160615,43,1001001009
TPK ,B1   ,201809160616,64,1001001009
TPK ,B1   ,201809160617,105,1001001009
TPK ,B1   ,201809160618,101,1001001009
TPK ,B1   ,201809160619,65,1001001009
TPK ,B1   ,201809160620,44,1001001009
TPK ,B1   ,201809160621,64,1001001009
TPK ,B1   ,201809160622,69,1001001009
TPK ,B1   ,201809160623,76,1001001009
TPK ,B1   ,201809160624,78,1001001009
TPK ,B1   ,201809160625,66,1001001009
TPK ,B1   ,201809160626,54,1001001009
TPK ,B1   ,201809160627,108,1001001009
TPK ,B1   ,201809160628,115,1001001009
TPK ,B1   ,201809160629,81,1001001009
TPK ,B1   ,201809160630,74,1001001009
TPK ,B1   ,201809160631,64,1001001009
TPK ,B1   ,201809160632,68,1001001009
TPK ,B1   ,201809160633,68,1001001009
TPK ,B1   ,201809160634,99,1001001009
TPK ,B1   ,201809160635,131,1001001009
TPK ,B1   ,201809160636,62,1001001009
TPK ,B1   ,201809160637,64,1001001009
TPK ,B1   ,201809160638,90,1001001009
TPK ,B1   ,201809160639,126,1001001009
TPK ,B1   ,201809160640,71,1001001009
TPK ,B1   ,201809160641,66,1001001009
TPK ,B1   ,201809160642,90,1001001009
TPK ,B1   ,201809160643,105,1001001009
TPK ,B1   ,201809160644,108,1001001009
TPK ,B1   ,201809160645,69,1001001009
TPK ,B1   ,201809160646,76,1001001009
TPK ,B1   ,201809160647,81,1001001009
TPK ,B1   ,201809160648,51,1001001009
TPK ,B1   ,201809160649,89,1001001009
TPK ,B1   ,201809160650,95,1001001009
TPK ,B1   ,201809160651,108,1001001009
TPK ,B1   ,201809160652,91,1001001009
TPK ,B1   ,201809160653,66,1001001009
